# NRows Mean     Lower    Upper   
      0 37.01    28.34    45.69   
     10 27.39    27.01    27.77   
     20 27.15    26.88    27.41   
     30 26.97    26.80    27.15   
     40 26.85    26.70    27.01   
     50 26.80    26.64    26.96   
     60 26.76    26.61    26.90   
     70 26.72    26.60    26.84   
     80 26.65    26.48    26.83   
     90 26.60    26.42    26.79   
    100 26.56    26.39    26.74   
    110 26.54    26.35    26.74   
    120 26.52    26.37    26.68   
    130 26.51    26.34    26.67   
    140 26.49    26.31    26.67   
    150 26.48    26.30    26.67   
    160 26.47    26.27    26.66   
    170 26.44    26.24    26.64   
    180 26.43    26.25    26.61   
    190 26.43    26.27    26.60   
    200 26.40    26.23    26.57   
    210 26.41    26.25    26.57   
    220 26.39    26.22    26.57   
    230 26.38    26.19    26.57   
    240 26.37    26.19    26.55   
    250 26.36    26.18    26.54   
    260 26.35    26.17    26.53   
    270 26.35    26.17    26.52   
    280 26.34    26.17    26.51   
    290 26.34    26.17    26.51   
    300 26.32    26.16    26.47   
    310 26.31    26.16    26.46   
    320 26.31    26.16    26.45   
    330 26.31    26.16    26.46   
    340 26.29    26.14    26.44   
    350 26.29    26.13    26.45   
    360 26.28    26.13    26.43   
    370 26.27    26.13    26.42   
    380 26.27    26.12    26.41   
    390 26.27    26.13    26.42   
    400 26.25    26.11    26.39   
    410 26.25    26.11    26.39   
    420 26.25    26.11    26.38   
    430 26.24    26.10    26.38   
    440 26.23    26.09    26.38   
    450 26.23    26.10    26.37   
    460 26.23    26.09    26.37   
    470 26.22    26.09    26.36   
    480 26.22    26.09    26.35   
    490 26.21    26.08    26.35   
    500 26.20    26.07    26.34   
    510 26.20    26.06    26.34   
    520 26.20    26.05    26.34   
    530 26.20    26.05    26.35   
    540 26.19    26.05    26.33   
    550 26.19    26.05    26.33   
    560 26.19    26.04    26.33   
    570 26.19    26.04    26.33   
    580 26.18    26.04    26.32   
    590 26.17    26.03    26.31   
    600 26.17    26.03    26.30   
    610 26.16    26.03    26.28   
    620 26.15    26.01    26.28   
    630 26.15    26.03    26.28   
    640 26.15    26.01    26.28   
    650 26.14    26.01    26.28   
    660 26.14    26.01    26.27   
    670 26.14    26.01    26.27   
    680 26.13    26.00    26.27   
    690 26.13    26.01    26.26   
    700 26.13    26.00    26.26   
    710 26.12    25.99    26.25   
    720 26.12    26.01    26.23   
    730 26.12    26.01    26.23   
    740 26.11    25.99    26.23   
    750 26.10    25.99    26.22   
    760 26.09    25.98    26.21   
    770 26.10    25.98    26.22   
    780 26.09    25.97    26.21   
    790 26.09    25.97    26.20   
    800 26.09    25.98    26.20   
    810 26.08    25.97    26.19   
    820 26.08    25.97    26.19   
    830 26.07    25.96    26.18   
    840 26.07    25.97    26.18   
    850 26.07    25.97    26.18   
    860 26.06    25.95    26.17   
    870 26.06    25.96    26.17   
    880 26.06    25.96    26.17   
    890 26.06    25.95    26.17   
    900 26.06    25.95    26.16   
    910 26.05    25.95    26.16   
    920 26.05    25.95    26.16   
    930 26.05    25.95    26.16   
    940 26.05    25.95    26.15   
    950 26.05    25.94    26.15   
    960 26.04    25.94    26.15   
    970 26.04    25.94    26.15   
    980 26.04    25.93    26.15   
    990 26.04    25.94    26.14   
   1000 26.03    25.93    26.14   
   1010 26.04    25.93    26.14   
   1020 26.03    25.92    26.14   
   1030 26.03    25.93    26.14   
   1040 26.03    25.93    26.14   
   1050 26.03    25.93    26.14   
   1060 26.03    25.93    26.14   
   1070 26.03    25.92    26.14   
   1080 26.03    25.93    26.14   
   1090 26.03    25.92    26.13   
   1100 26.03    25.92    26.13   
   1110 26.03    25.92    26.13   
   1120 26.02    25.92    26.13   
   1130 26.02    25.91    26.13   
   1140 26.02    25.91    26.13   
   1150 26.02    25.91    26.12   
   1160 26.01    25.90    26.12   
   1170 26.01    25.90    26.12   
   1180 26.01    25.90    26.12   
   1190 26.01    25.90    26.12   
   1200 26.01    25.90    26.12   
   1210 26.01    25.90    26.12   
   1220 26.00    25.89    26.11   
   1230 26.00    25.89    26.10   
   1240 26.00    25.89    26.10   
   1250 26.00    25.88    26.11   
   1260 25.99    25.89    26.10   
   1270 25.99    25.88    26.10   
   1280 25.99    25.88    26.10   
   1290 25.99    25.88    26.10   
   1300 25.98    25.88    26.09   
   1310 25.98    25.88    26.08   
   1320 25.98    25.88    26.08   
   1330 25.98    25.88    26.08   
   1340 25.97    25.87    26.08   
   1350 25.98    25.88    26.08   
   1360 25.97    25.88    26.07   
   1370 25.97    25.86    26.07   
   1380 25.97    25.86    26.07   
   1390 25.97    25.86    26.08   
   1400 25.96    25.86    26.06   
   1410 25.96    25.86    26.06   
   1420 25.97    25.86    26.07   
   1430 25.97    25.86    26.07   
   1440 25.96    25.87    26.06   
   1450 25.96    25.86    26.06   
   1460 25.96    25.86    26.06   
   1470 25.96    25.86    26.06   
   1480 25.96    25.86    26.06   
   1490 25.96    25.86    26.06   
   1500 25.96    25.86    26.06   
   1510 25.96    25.86    26.06   
   1520 25.96    25.86    26.06   
   1530 25.96    25.86    26.06   
   1540 25.96    25.86    26.06   
   1550 25.96    25.86    26.06   
   1560 25.95    25.85    26.05   
   1570 25.95    25.85    26.05   
   1580 25.95    25.85    26.05   
   1590 25.95    25.85    26.05   
   1600 25.95    25.85    26.05   
   1610 20.75    10.86    30.64   
WARNING! More run are needed to calculate a 0.950000 confidence interval of with 5 accuracy.
A total of 5 runs were executed but the ideal size is 794933.945620.
