# NRows Mean     Lower    Upper   
      0 9.77     5.92     13.63   
     10 7.59     6.91     8.27    
     20 7.36     7.03     7.68    
     30 7.32     7.05     7.59    
     40 7.60     6.91     8.29    
     50 7.67     6.97     8.38    
     60 7.89     7.13     8.65    
     70 8.16     7.26     9.06    
     80 8.07     7.25     8.89    
     90 8.29     7.38     9.21    
    100 8.43     7.57     9.29    
    110 8.55     7.72     9.38    
    120 8.65     7.82     9.48    
    130 8.67     7.83     9.51    
    140 8.71     7.84     9.57    
    150 8.72     7.90     9.54    
    160 8.73     7.91     9.55    
    170 8.73     7.89     9.57    
    180 8.73     7.89     9.58    
    190 8.72     7.85     9.59    
    200 8.72     7.85     9.59    
    210 8.71     7.84     9.58    
    220 8.71     7.84     9.57    
    230 8.71     7.85     9.57    
    240 8.71     7.86     9.56    
    250 8.70     7.84     9.56    
    260 8.70     7.84     9.56    
    270 8.69     7.83     9.55    
    280 8.69     7.82     9.55    
    290 8.69     7.83     9.55    
    300 8.68     7.82     9.55    
    310 8.68     7.82     9.54    
    320 8.68     7.81     9.55    
    330 8.67     7.80     9.54    
    340 8.66     7.79     9.54    
    350 8.65     7.78     9.52    
    360 8.64     7.77     9.51    
    370 8.64     7.77     9.51    
    380 8.63     7.76     9.50    
    390 8.63     7.76     9.50    
    400 8.63     7.76     9.50    
    410 8.61     7.75     9.48    
    420 8.62     7.75     9.49    
    430 8.60     7.73     9.47    
    440 8.60     7.73     9.47    
    450 8.58     7.71     9.46    
    460 8.57     7.70     9.45    
    470 8.57     7.69     9.45    
    480 8.55     7.68     9.43    
    490 8.53     7.65     9.42    
    500 8.53     7.64     9.41    
    510 8.51     7.63     9.40    
    520 8.50     7.61     9.38    
    530 8.49     7.60     9.38    
    540 8.47     7.57     9.37    
    550 8.46     7.55     9.36    
    560 8.43     7.51     9.34    
    570 8.42     7.50     9.34    
    580 8.39     7.44     9.33    
    590 8.37     7.42     9.32    
    600 8.34     7.37     9.31    
    610 8.33     7.34     9.31    
    620 8.32     7.34     9.31    
    630 8.31     7.31     9.30    
    640 8.30     7.30     9.29    
    650 8.30     7.30     9.29    
    660 8.29     7.28     9.29    
    670 8.28     7.27     9.29    
    680 8.28     7.26     9.29    
