# NRows Mean     Lower    Upper   
     10 471.60   450.61   492.59  
     20 0.00     0.00     0.00    
     30 0.00     0.00     0.00    
     40 8.60     8.13     9.07    
     50 7.20     6.09     8.31    
     60 6.20     5.27     7.13    
     70 34.80    -12.61   82.21   
     80 9293.20  6129.98  12456.42
     90 15341.00 11929.30 18752.70
    100 17031.80 15164.45 18899.15
    110 17340.60 15577.75 19103.45
    120 16860.20 14968.24 18752.16
    130 12376.60 11660.04 13093.16
    140 8123.80  7516.09  8731.51 
    150 6022.00  5532.79  6511.21 
    160 5037.00  4585.78  5488.22 
    170 4774.20  4088.98  5459.42 
    180 4139.60  3794.80  4484.40 
    190 4030.40  3719.55  4341.25 
    200 3658.60  3331.70  3985.50 
    210 3378.20  3060.43  3695.97 
    220 2586.20  2119.29  3053.11 
    230 1691.60  1585.04  1798.16 
    240 1420.60  1265.97  1575.23 
    250 1301.40  1203.50  1399.30 
    260 1112.20  1017.27  1207.13 
    270 883.80   724.77   1042.83 
    280 935.60   872.23   998.97  
    290 915.00   777.39   1052.61 
    300 802.20   754.38   850.02  
    310 676.60   608.28   744.92  
    320 652.40   577.87   726.93  
    330 568.40   545.55   591.25  
    340 528.80   411.32   646.28  
    350 630.40   484.54   776.26  
    360 602.80   457.42   748.18  
    370 673.20   567.31   779.09  
    380 599.00   498.93   699.07  
    390 236.60   149.34   323.86  
    400 110.20   80.69    139.71  
    410 134.20   119.77   148.63  
    420 116.80   72.57    161.03  
    430 121.40   77.06    165.74  
    440 80.00    60.81    99.19   
    450 85.60    65.67    105.53  
    460 77.80    62.21    93.39   
    470 83.80    45.40    122.20  
    480 66.60    44.71    88.49   
    490 68.60    38.19    99.01   
    500 64.20    43.24    85.16   
    510 90.80    31.06    150.54  
    520 61.60    50.07    73.13   
    530 64.40    37.87    90.93   
    540 84.00    30.11    137.89  
    550 88.00    35.57    140.43  
    560 68.40    36.97    99.83   
    570 58.40    11.77    105.03  
    580 47.20    18.95    75.45   
    590 58.60    22.52    94.68   
    600 41.80    32.33    51.27   
    610 43.40    20.60    66.20   
    620 46.20    20.81    71.59   
    630 43.60    18.27    68.93   
    640 34.40    10.69    58.11   
