# NRows Mean     Lower    Upper   
     10 21551.80 -18872.74 61976.34
     20 1079.80  -918.38  3077.98 
     30 38851.00 5005.02  72696.98
     40 239901.80 206448.53 273355.07
     50 388874.80 377726.27 400023.33
     60 332071.80 293877.86 370265.74
     70 266956.40 231390.81 302521.99
     80 242437.40 220929.60 263945.20
     90 175680.00 135119.89 216240.11
    100 60259.20 14668.40 105850.00
    110 4111.60  4059.40  4163.80 
    120 11237.00 2998.32  19475.68
    130 68822.60 37472.84 100172.36
    140 36099.20 -1581.68 73780.08
    150 5143.60  3441.72  6845.48 
    160 13712.20 5272.09  22152.31
    170 18256.60 6954.30  29558.90
    180 13735.40 2941.66  24529.14
    190 18103.80 7421.25  28786.35
    200 4423.60  4152.05  4695.15 
    210 6646.20  3772.02  9520.38 
    220 8144.60  4942.11  11347.09
    230 4944.00  3807.10  6080.90 
    240 5946.00  4921.10  6970.90 
    250 3542.20  2734.36  4350.04 
    260 3195.00  2627.61  3762.39 
    270 3718.80  3024.82  4412.78 
    280 4471.80  4110.74  4832.86 
    290 4345.40  4179.54  4511.26 
    300 4086.40  4044.06  4128.74 
    310 4119.80  3872.53  4367.07 
    320 3841.40  3533.88  4148.92 
    330 3888.20  3561.42  4214.98 
    340 4206.00  4090.28  4321.72 
    350 4159.40  4037.46  4281.34 
    360 4096.40  4049.08  4143.72 
    370 4201.80  4062.52  4341.08 
    380 4124.00  4056.24  4191.76 
    390 4159.40  3867.03  4451.77 
    400 4153.00  4081.90  4224.10 
    410 4138.80  4102.26  4175.34 
    420 4109.80  4105.97  4113.63 
    430 4055.40  4011.49  4099.31 
    440 4193.20  4069.39  4317.01 
    450 2704.00  1288.22  4119.78 
    460 641.60   419.31   863.89  
    470 673.80   493.65   853.95  
    480 825.60   724.21   926.99  
    490 985.20   939.45   1030.95 
    500 850.60   790.00   911.20  
    510 865.00   787.57   942.43  
    520 852.40   815.53   889.27  
    530 934.80   837.93   1031.67 
    540 793.00   742.32   843.68  
    550 753.80   707.19   800.41  
    560 783.60   717.07   850.13  
    570 828.00   706.52   949.48  
    580 1093.20  930.94   1255.46 
    590 1102.60  1030.59  1174.61 
    600 1096.60  1015.68  1177.52 
    610 1016.20  891.11   1141.29 
    620 1066.20  938.61   1193.79 
    630 919.00   789.00   1049.00 
    640 873.00   820.39   925.61  
    650 829.60   775.71   883.49  
    660 793.40   729.05   857.75  
    670 767.20   660.97   873.43  
    680 760.60   695.03   826.17  
    690 794.20   733.42   854.98  
    700 867.00   578.98   1155.02 
    710 775.00   416.12   1133.88 
    720 1232.60  921.90   1543.30 
    730 1500.00  1392.40  1607.60 
    740 1427.40  1303.06  1551.74 
    750 1517.00  1263.14  1770.86 
    760 1614.60  1475.42  1753.78 
    770 1552.80  1430.47  1675.13 
    780 1590.80  1360.16  1821.44 
    790 1745.00  1613.56  1876.44 
    800 1564.20  1362.12  1766.28 
    810 1317.40  1040.42  1594.38 
    820 1049.20  964.81   1133.59 
    830 1270.40  1163.45  1377.35 
