# NRows Mean     Lower    Upper   
     10 526.80   391.37   662.23  
     20 0.00     0.00     0.00    
     30 0.20     -0.18    0.58    
     40 4.20     0.88     7.52    
     50 5.00     1.09     8.91    
     60 3.60     0.73     6.47    
     70 412.60   -306.60  1131.80 
     80 10929.00 -9795.03 31653.03
     90 7913.20  -6460.82 22287.22
    100 6362.40  -4204.33 16929.13
    110 5807.00  -4592.93 16206.93
    120 6004.00  -3856.04 15864.04
    130 4486.00  -2522.04 11494.04
    140 3267.40  -1819.98 8354.78 
    150 3045.60  -1628.90 7720.10 
    160 2799.60  -1125.37 6724.57 
    170 2807.40  -840.32  6455.12 
    180 2672.60  -454.20  5799.40 
    190 2254.60  -1055.36 5564.56 
    200 2014.20  -1276.70 5305.10 
    210 1935.20  -1203.20 5073.60 
    220 1929.20  -1201.22 5059.62 
    230 1805.40  -1085.83 4696.63 
    240 1855.20  -1126.11 4836.51 
    250 1864.80  -1143.74 4873.34 
    260 1597.40  -900.93  4095.73 
    270 1648.40  -953.29  4250.09 
    280 1493.40  -817.75  3804.55 
    290 1465.60  -793.58  3724.78 
    300 1498.60  -822.28  3819.48 
    310 1418.00  -746.86  3582.86 
    320 1451.60  -781.43  3684.63 
    330 1453.40  -782.99  3689.79 
    340 1383.20  -716.84  3483.24 
    350 1298.20  -649.21  3245.61 
    360 1348.00  -686.56  3382.56 
    370 1231.40  -587.14  3049.94 
    380 1174.40  -544.20  2893.00 
    390 1059.20  -443.68  2562.08 
    400 980.40   -380.03  2340.83 
    410 817.00   -254.87  1888.87 
    420 815.60   -253.86  1885.06 
    430 787.80   -259.85  1835.45 
    440 551.20   -257.48  1359.88 
    450 635.40   -137.04  1407.84 
    460 624.20   -131.09  1379.49 
    470 607.60   -122.67  1337.87 
    480 540.60   -94.74   1175.94 
    490 537.60   -93.76   1168.96 
    500 499.60   -83.85   1083.05 
    510 493.20   -82.69   1069.09 
    520 477.60   -68.22   1023.42 
    530 7481.60  -6204.45 21167.65
    540 4879.40  -3849.12 13607.92
    550 3512.20  -2614.42 9638.82 
    560 2705.20  -1888.32 7298.72 
    570 2310.60  -1534.92 6156.12 
    580 1803.20  -1083.89 4690.29 
    590 1661.80  -959.38  4282.98 
    600 1421.00  -994.60  3836.60 
    610 1057.00  -958.47  3072.47 
    620 952.60   -863.80  2769.00 
    630 1060.20  -615.72  2736.12 
    640 879.00   -797.06  2555.06 
    650 854.60   -774.94  2484.14 
    660 1036.80  -430.18  2503.78 
    670 719.60   -652.52  2091.72 
    680 705.00   -639.28  2049.28 
    690 718.00   -639.18  2075.18 
    700 722.80   -655.42  2101.02 
    710 581.40   -527.20  1690.00 
    720 590.60   -535.55  1716.75 
    730 626.80   -562.18  1815.78 
    740 609.40   -552.59  1771.39 
    750 511.20   -463.55  1485.95 
    760 503.20   -456.29  1462.69 
    770 473.40   -429.27  1376.07 
    780 466.20   -422.74  1355.14 
    790 466.20   -422.74  1355.14 
    800 427.20   -387.38  1241.78 
    810 386.80   -350.74  1124.34 
    820 367.00   -332.79  1066.79 
    830 341.40   -309.58  992.38  
    840 348.40   -315.92  1012.72 
    850 357.40   -324.08  1038.88 
    860 337.00   -305.59  979.59  
