# NRows Mean     Lower    Upper   
     10 12661.80 -11076.36 36399.96
     20 33.60    -1.09    68.29   
     30 45638.40 9694.31  81582.49
     40 210308.40 142079.33 278537.47
     50 338465.00 173411.07 503518.93
     60 332320.20 170415.27 494225.13
     70 339458.60 181541.03 497376.17
     80 42220.60 3077.08  81364.12
     90 38104.80 -7602.49 83812.09
    100 57458.60 11988.98 102928.22
    110 3619.60  1790.44  5448.76 
    120 47042.40 -18129.24 112214.04
    130 120385.80 26561.95 214209.65
    140 104608.20 -74374.24 283590.64
    150 90085.00 -72098.22 252268.22
    160 57832.00 -19589.13 135253.13
    170 7962.00  747.13   15176.87
    180 16386.60 4290.44  28482.76
    190 50257.80 41095.55 59420.05
    200 4283.00  3865.88  4700.12 
    210 18995.60 -8789.02 46780.22
    220 28630.20 16967.73 40292.67
    230 4010.40  3842.13  4178.67 
    240 10391.20 2547.98  18234.42
    250 29868.20 17582.22 42154.18
    260 5726.80  2674.77  8778.83 
    270 12518.20 -3157.14 28193.54
    280 28643.40 16945.35 40341.45
    290 4194.40  3950.87  4437.93 
    300 4226.00  4014.93  4437.07 
    310 33884.20 30383.74 37384.66
    320 6444.60  2836.91  10052.29
    330 4184.60  3960.12  4409.08 
    340 22948.20 8499.82  37396.58
    350 16520.60 2023.66  31017.54
    360 4207.00  3958.57  4455.43 
    370 10300.40 -1327.66 21928.46
    380 29612.40 17398.72 41826.08
    390 8878.40  -26.14   17782.94
    400 5834.60  2666.95  9002.25 
    410 29078.60 17196.48 40960.72
    420 4143.80  3984.86  4302.74 
    430 10226.60 -1286.59 21739.79
    440 28999.80 17128.88 40870.72
    450 4113.60  4043.88  4183.32 
    460 10763.80 -1816.08 23343.68
    470 29049.80 17158.56 40941.04
    480 4097.00  4071.11  4122.89 
    490 10334.00 -1460.66 22128.66
    500 29084.80 17155.01 41014.59
    510 4117.00  4094.74  4139.26 
    520 10624.00 -1720.06 22968.06
    530 53493.60 28741.26 78245.94
    540 4947.20  3911.74  5982.66 
    550 10767.20 -1112.39 22646.79
    560 60650.80 33303.00 87998.60
    570 4335.20  3879.61  4790.79 
    580 17533.20 1801.57  33264.83
    590 37888.20 11954.17 63822.23
    600 4298.40  3932.93  4663.87 
    610 20900.00 -83.20   41883.20
    620 45926.60 32336.47 59516.73
    630 4261.00  3945.82  4576.18 
    640 4272.60  3973.49  4571.71 
    650 53680.00 44173.46 63186.54
    660 7324.40  1494.63  13154.17
    670 18249.60 179.30   36319.90
    680 35521.40 19486.86 51555.94
    690 10089.40 3357.66  16821.14
    700 10347.00 -1121.25 21815.25
    710 34940.20 20889.98 48990.42
    720 18337.20 3677.33  32997.07
    730 11247.80 -2033.93 24529.53
    740 33436.00 18983.88 47888.12
    750 18159.40 3771.07  32547.73
    760 11512.00 -2310.15 25334.15
    770 33526.00 18823.31 48228.69
    780 18158.60 3821.23  32495.97
    790 4202.40  3973.27  4431.53 
    800 40928.00 26402.14 55453.86
    810 20698.40 7658.52  33738.28
    820 4194.00  3985.68  4402.32 
    830 23367.00 3811.94  42922.06
    840 35668.20 15865.45 55470.95
    850 4207.80  4047.35  4368.25 
    860 21834.60 729.31   42939.89
    870 34999.80 12072.95 57926.65
    880 4094.00  4045.13  4142.87 
    890 24284.00 748.90   47819.10
    900 34481.60 10840.64 58122.56
    910 4102.40  4082.00  4122.80 
    920 24646.00 619.30   48672.70
    930 34426.40 10802.67 58050.13
    940 4121.80  4101.50  4142.10 
    950 21643.40 664.41   42622.39
    960 34409.00 15028.50 53789.50
    970 6861.00  1566.78  12155.22
    980 21941.60 608.89   43274.31
    990 34664.80 15254.26 54075.34
   1000 6892.60  1539.94  12245.26
   1010 11502.00 -2595.31 25599.31
   1020 33380.80 18516.90 48244.70
   1030 18123.20 3556.22  32690.18
   1040 11379.00 -2510.01 25268.01
   1050 33467.60 18653.26 48281.94
   1060 18619.00 4548.03  32689.97
   1070 11503.40 -2624.80 25631.60
   1080 33544.20 18746.97 48341.43
   1090 18029.80 3376.30  32683.30
   1100 4098.00  4076.28  4119.72 
   1110 40915.20 26425.87 55404.53
   1120 18084.60 3446.48  32722.72
   1130 4081.20  4051.73  4110.67 
   1140 33543.20 13309.84 53776.56
   1150 25604.60 5120.75  46088.45
   1160 4088.40  4029.22  4147.58 
   1170 24554.20 685.19   48423.21
   1180 34340.00 10789.41 57890.59
   1190 4632.40  3595.61  5669.19 
