"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_1024_2_run.csv",,,,"Date:","20 Mar 2020 18:26:57 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
20-03 18:26:57,3.991,0.681,95.102,0.225,0,5470264.272,1451798.761,0,0,1124278272,14366969856,331354112,690040832,2016,68154
20-03 18:26:58,6.813,51.338,41.849,0,0,0,0,1262,5309,1493504000,13997936640,331354112,1052401664,2016,68184
20-03 18:26:59,1.750,64.750,33.500,0,0,0,3514368,1144,4094,1894146048,13597294592,331354112,1446244352,2016,68184
20-03 18:27:00,0.752,65.915,33.333,0,0,0,0,221,960,2290573312,13200867328,331354112,1835814912,2016,68184
20-03 18:27:01,0.750,65.750,33.500,0,0,0,0,309,377,2687213568,12804227072,331354112,2225606656,2016,68184
20-03 18:27:02,1.003,65.414,33.584,0,0,0,0,951,377,3083018240,12408422400,331354112,2614804480,2016,68184
20-03 18:27:03,1.250,65.250,33.250,0.250,0,0,184320,1181,960,3476983808,12014448640,331362304,3002269696,2016,68184
20-03 18:27:04,1.511,64.987,33.501,0,0,0,0,1100,484,3871338496,11620081664,331362304,3390402560,2016,68184
20-03 18:27:05,1.247,65.337,33.416,0,0,0,0,891,377,4264124416,11227295744,331362304,3776421888,2016,68184
20-03 18:27:06,5.985,47.880,46.135,0,0,0,0,641,960,4502577152,10988843008,331362304,4011503616,2048,68184
20-03 18:27:07,15.842,18.812,65.347,0,0,0,0,651,377,4503465984,10987954176,331362304,4012412928,2048,68184
20-03 18:27:08,17.839,17.839,64.070,0.251,0,0,49152,171,377,4504035328,10987347968,331366400,4012445696,2048,68184
20-03 18:27:09,15.960,18.703,65.337,0,0,0,57344,1264,2424,4503965696,10987446272,331370496,4012412928,2048,68184
20-03 18:27:10,15.594,19.059,65.347,0,0,0,0,111,377,4503965696,10987446272,331370496,4012412928,2048,68184
20-03 18:27:11,16.625,17.866,65.509,0,0,0,0,591,377,4503965696,10987446272,331370496,4012412928,2048,68184
20-03 18:27:12,15.385,16.923,67.436,0.256,0,0,8192,701,960,4503965696,10987446272,331370496,4012412928,2048,68184
