"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_16_5_run.csv",,,,"Date:","20 Mar 2020 11:58:23 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
20-03 11:58:23,3.930,0.681,95.163,0.226,0,5494892.620,1457960.460,0,0,1122181120,14611931136,298795008,485871616,2048,64636
20-03 11:58:24,2.005,53.133,44.862,0,0,0,0,1631,1867,1500393472,14233710592,298795008,859004928,2080,64640
20-03 11:58:25,1.003,65.414,33.584,0,0,0,0,111,66,1898590208,13835513856,298795008,1250144256,2080,64640
20-03 11:58:26,1.511,64.987,33.501,0,0,0,0,456,1447,2296090624,13438013440,298795008,1640964096,2080,64638
20-03 11:58:27,0.752,65.915,33.333,0,0,0,0,351,545,2691469312,13042642944,298795008,2029645824,2080,64638
20-03 11:58:28,0.995,65.920,33.085,0,0,0,28672,591,377,3087982592,12646129664,298795008,2420334592,2080,64638
20-03 11:58:29,0.758,65.909,33.333,0,0,0,176128,790,1067,3487944704,12246155264,298803200,2813149184,2080,64638
20-03 11:58:30,1.253,65.664,33.083,0,0,0,0,1071,377,3887030272,11847069696,298803200,3205787648,2080,64638
20-03 11:58:31,0.750,66,33.250,0,0,0,0,591,377,4286369792,11447730176,298803200,3598626816,2080,64638
20-03 11:58:32,7.769,43.358,48.872,0,0,0,0,899,960,4499435520,11234664448,298803200,3807936512,2080,64637
20-03 11:58:33,15.250,18.750,66,0,0,0,0,495,377,4499816448,11234283520,298803200,3808313344,2080,64637
20-03 11:58:34,17.766,15.228,66.751,0.254,0,0,32768,341,484,4499812352,11234283520,298807296,3808313344,2080,64637
20-03 11:58:35,16.256,18.719,65.025,0,0,0,0,221,960,4499812352,11234283520,298807296,3808313344,2080,64637
20-03 11:58:36,15.309,19.506,65.185,0,0,0,0,231,377,4499812352,11234283520,298807296,3808313344,2080,64637
20-03 11:58:37,15.327,18.593,66.080,0,0,0,4096,380,1205,4499812352,11234283520,298807296,3808313344,2080,64637
20-03 11:58:38,15.657,18.182,66.162,0,0,0,8192,1221,1447,4499939328,11234156544,298807296,3808313344,2080,64637
20-03 11:58:39,15.385,19.107,65.261,0.248,0,0,49152,1040,484,4499939328,11234156544,298807296,3808313344,2080,64637
20-03 11:58:40,13.784,20.050,66.165,0,0,0,0,1071,377,4499939328,11234156544,298807296,3808313344,2080,64637
20-03 11:58:41,16.414,16.667,66.919,0,0,0,0,281,960,4499939328,11234156544,298807296,3808313344,2080,64637
20-03 11:58:42,15.578,18.090,66.332,0,0,0,0,1071,377,4499939328,11234156544,298807296,3808313344,2080,64637
20-03 11:58:43,15.920,18.408,65.672,0,0,0,12288,951,377,4499939328,11234156544,298807296,3808313344,2080,64637
20-03 11:58:44,14.963,18.953,65.835,0.249,0,0,40960,1690,1109,4499927040,11234156544,298819584,3808313344,2080,64637
20-03 11:58:45,15.711,18.703,65.586,0,0,0,0,855,377,4499927040,11234156544,298819584,3808313344,2080,64637
20-03 11:58:46,16.583,17.085,66.332,0,0,0,0,591,377,4499922944,11234156544,298819584,3808317440,2080,64637
20-03 11:58:47,14.851,19.554,65.594,0,0,0,0,281,960,4499922944,11234156544,298819584,3808317440,2080,64637
20-03 11:58:48,15.250,18.750,66,0,0,0,139264,591,377,4499922944,11234156544,298819584,3808317440,2080,64637
20-03 11:58:49,15.212,18.953,65.586,0.249,0,0,561152,680,484,4499918848,11234156544,298819584,3808321536,2080,64637
20-03 11:58:50,15.443,17.722,66.835,0,0,0,16384,861,1447,4499914752,11234156544,298823680,3808321536,2080,64637
20-03 11:58:51,14.713,8.479,76.808,0,0,0,0,119555,2702490,4509675520,11219808256,298823680,3817664512,2080,64637
20-03 11:58:52,16.837,0.510,82.653,0,0,0,40960,353597,7897156,4510691328,11218792448,298823680,3817664512,2080,64637
20-03 11:58:53,15.578,0.754,83.668,0,0,0,3510272,346418,7732554,4511080448,11218403328,298823680,3817664512,2080,64638
20-03 11:58:54,18,0.500,80.500,1,0,0,32088064,397040,8814328,4510982144,11218489344,298823680,3817709568,2080,64638
