"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_10_4_run.csv",,,,"Date:","28 Mar 2020 23:07:44 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
28-03 23:07:44,4.634,0.649,94.507,0.210,0,4863584.972,1533466.291,0,0,1110089728,12098531328,399261696,2736160768,2080,257272
28-03 23:07:45,2.256,53.885,43.860,0,0,0,4096,1241,2187,1498308608,11708932096,399261696,3118616576,2080,257276
28-03 23:07:46,0.758,65.404,33.838,0,0,0,0,171,377,1903108096,11302744064,399261696,3515809792,2080,257276
28-03 23:07:47,0.754,65.578,33.668,0,0,0,0,381,1447,2307112960,10896920576,399261696,3912564736,2080,257276
28-03 23:07:48,3.030,64.899,32.071,0,0,0,36864,231,377,2707914752,10494267392,399261696,4306362368,2080,257276
28-03 23:07:49,0.252,66.247,33.501,0,0,0,114688,522,523,3109867520,10090676224,399261696,4701249536,2080,257276
28-03 23:07:50,0.752,65.664,33.333,0.251,0,0,90112,281,960,3510722560,9688064000,399261696,5095215104,2080,257276
28-03 23:07:51,1.504,64.912,33.584,0,0,0,0,111,377,3910389760,9286643712,399261696,5488201728,2080,257276
28-03 23:07:52,1,65.500,33.500,0,0,0,0,171,377,4308770816,8886493184,399261696,5879918592,2080,257276
28-03 23:07:53,7.538,41.206,51.256,0,0,0,0,641,960,4488663040,8705667072,399261696,6058270720,2080,257276
28-03 23:07:54,16.121,17.128,66.499,0.252,0,0,12288,1362,523,4488916992,8705413120,399261696,6058606592,2080,257276
28-03 23:07:55,15.789,18.045,66.165,0,0,0,0,1275,377,4488916992,8705413120,399261696,6058606592,2080,257276
28-03 23:07:56,16.244,17.259,66.497,0,0,0,12288,1181,960,4488916992,8705413120,399261696,6058606592,2080,257276
28-03 23:07:57,17.207,16.958,65.835,0,0,0,0,591,377,4488916992,8705413120,399261696,6058606592,2080,257276
28-03 23:07:58,16.010,18.719,65.271,0,0,0,0,651,377,4488916992,8705413120,399261696,6058606592,2080,257276
28-03 23:07:59,14.713,19.451,65.586,0.249,0,0,53248,870,1593,4488916992,8705413120,399261696,6058606592,2080,257276
28-03 23:08:00,17.500,18.250,64.250,0,0,0,40960,500,1205,4490186752,8704143360,399261696,6058606592,2048,257276
28-03 23:08:01,15.233,19.902,64.619,0.246,0,0,49152,922,377,4490186752,8704143360,399261696,6058606592,2048,257276
28-03 23:08:02,13.930,20.398,65.672,0,0,0,0,1121,960,4490186752,8704143360,399261696,6058606592,2048,257276
28-03 23:08:03,15.633,18.859,65.509,0,0,0,0,951,377,4490186752,8704143360,399261696,6058606592,2048,257276
28-03 23:08:04,14.824,18.844,66.332,0,0,0,57344,770,526,4490182656,8704143360,399261696,6058610688,2048,257276
28-03 23:08:05,19.048,19.048,61.905,0,0,0,0,221,960,4490055680,8704270336,399261696,6058610688,2080,257304
28-03 23:08:06,19.543,16.244,63.959,0.254,0,0,12288,1171,7866,4490051584,8704270336,399265792,6058610688,2080,257304
28-03 23:08:07,16.368,16.113,67.519,0,0,0,0,1335,377,4490047488,8704270336,399265792,6058614784,2080,257304
28-03 23:08:08,17.358,14.249,68.394,0,0,0,0,1181,960,4490047488,8704270336,399265792,6058614784,2080,257304
28-03 23:08:09,14.778,20.197,65.025,0,0,0,16384,710,484,4490047488,8704270336,399265792,6058614784,2080,257304
28-03 23:08:10,16.244,16.497,67.259,0,0,0,0,591,377,4490047488,8704270336,399265792,6058614784,2080,257304
28-03 23:08:11,15.099,19.554,65.099,0.248,0,0,12288,1161,1447,4490043392,8704270336,399269888,6058614784,2080,257304
28-03 23:08:12,17.544,11.779,70.677,0,0,0,0,1219,589,4597252096,8495841280,399269888,6255771648,2080,257304
28-03 23:08:13,22.500,2.750,74.750,0,0,0,0,531,377,4804370432,8075235328,399269888,6669975552,2080,257304
28-03 23:08:14,22,3.500,74.500,0,0,0,49152,281,1106,5018079232,7644590080,399269888,7091671040,2080,257306
28-03 23:08:15,21.859,3.518,74.623,0,0,0,307200,1645,2307,5234323456,7209111552,399269888,7517573120,2080,257308
28-03 23:08:16,22.195,4.988,67.332,5.486,0,12288,536403968,231,377,5449936896,6773858304,399286272,7943774208,2080,257308
28-03 23:08:17,22.750,3.250,74,0,0,0,0,341,1002,5659459584,6350729216,399286272,8358182912,2080,257309
28-03 23:08:18,24.874,5.025,63.819,6.281,0,28672,843771904,651,377,5873639424,5919596544,399314944,8779366400,2080,257309
28-03 23:08:19,22.111,3.266,74.623,0,0,0,106496,965,484,6090313728,5483737088,399314944,9205215232,2080,257309
28-03 23:08:20,22.306,3.258,74.436,0,0,0,208896,821,1044,6306115584,5048451072,399314944,9631260672,2080,257309
28-03 23:08:21,22.250,3.250,74.250,0.250,0,0,446464,591,377,6515449856,4626210816,399319040,10044198912,2080,257309
28-03 23:08:22,23.618,3.266,69.347,3.769,0,12288,385896448,1343,377,6673563648,4250591232,399331328,10407956480,2080,257310
28-03 23:08:23,21.374,5.089,66.921,6.616,0,24576,928841728,1236,1447,6676488192,4039352320,399355904,10610712576,2080,257308
