"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_30_1_run.csv",,,,"Date:","29 Mar 2020 04:13:33 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
29-03 04:13:33,4.676,0.649,94.465,0.210,0,4851464.302,1540977.604,0,0,1112301568,12086984704,402862080,2740908032,2016,257273
29-03 04:13:34,2.005,50.877,47.118,0,0,0,0,1452,1359,1487663104,11710795776,402862080,3110518784,2016,257277
29-03 04:13:35,1.256,65.327,33.417,0,0,0,2650112,500,1596,1888686080,11308019712,402862080,3504660480,2016,257277
29-03 04:13:36,1.504,64.662,33.835,0,0,0,0,171,377,2295472128,10899529728,402862080,3903475712,2016,257277
29-03 04:13:37,0.500,66.250,33.250,0,0,0,0,171,377,2690887680,10502295552,402862080,4292460544,2016,257277
29-03 04:13:38,1.003,65.163,33.584,0.251,0,0,77824,761,960,3085004800,10106474496,402862080,4679806976,2016,257277
29-03 04:13:39,1.256,65.327,33.417,0,0,0,90112,591,377,3478192128,9711616000,402862080,5066452992,2016,257277
29-03 04:13:40,1,65.500,33.500,0,0,0,0,1396,565,3871920128,9316130816,402862080,5453836288,2016,257277
29-03 04:13:41,1.256,65.578,33.166,0,0,0,4096,910,1788,4262891520,8923373568,402862080,5838340096,2016,257277
29-03 04:13:42,6.533,45.980,47.487,0,0,0,0,591,377,4490194944,8695070720,402862080,6062743552,2016,257277
29-03 04:13:43,15.038,18.546,66.416,0,0,0,0,495,377,4491022336,8694243328,402862080,6063484928,2016,257277
29-03 04:13:44,15.075,18.342,66.332,0.251,0,0,12288,341,960,4491018240,8694243328,402866176,6063484928,2016,257277
29-03 04:13:45,16.377,18.114,65.509,0,0,0,36864,689,484,4491018240,8694243328,402866176,6063484928,2016,257277
29-03 04:13:46,16.129,18.362,65.509,0,0,0,0,591,377,4491018240,8694243328,402866176,6063484928,2016,257277
29-03 04:13:47,15.479,20.147,64.373,0,0,0,675840,1161,1447,4491018240,8694243328,402866176,6063484928,2016,257277
29-03 04:13:48,15.648,19.804,64.303,0.244,0,0,8192,591,377,4491018240,8694243328,402866176,6063484928,2016,257277
29-03 04:13:49,19.843,11.227,68.668,0.261,0,0,16384,531,377,4491018240,8694243328,402866176,6063484928,2016,257277
29-03 04:13:50,17.929,15.404,66.667,0,0,0,12288,370,1067,4491018240,8694243328,402866176,6063484928,2016,257277
