"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/BASELINE_1024_5_run.csv",,,,"Date:","23 Mar 2020 09:22:19 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
23-03 09:22:19,4.314,0.672,94.792,0.222,0,5247588.394,1501909.890,0,0,1134514176,14418165760,279171072,683950080,2112,66371
23-03 09:22:20,1.005,52.010,46.985,0,0,0,1941504,1716,1359,1505398784,14047268864,279171072,1049206784,2112,66375
23-03 09:22:21,1.256,65.075,33.668,0,0,0,0,801,1447,1902899200,13649768448,279171072,1439887360,2112,66375
23-03 09:22:22,1.008,65.239,33.753,0,0,0,0,951,377,2299760640,13252907008,279171072,1830051840,2112,66375
23-03 09:22:23,1,65.750,33.250,0,0,0,0,1190,484,2693386240,12859281408,279171072,2217164800,2112,66375
23-03 09:22:24,0.758,65.404,33.586,0.253,0,0,176128,701,960,3087642624,12465020928,279179264,2604867584,2112,66375
23-03 09:22:25,0.752,65.915,33.333,0,0,0,0,711,377,3483676672,12068982784,279179264,2994987008,2112,66375
23-03 09:22:26,1.008,65.491,33.501,0,0,0,0,591,467,3883143168,11669516288,279179264,3387768832,2112,66375
23-03 09:22:27,1.010,65.657,33.333,0,0,0,0,1271,960,4287815680,11264843776,279179264,3785900032,2112,66375
23-03 09:22:28,7.305,44.584,48.111,0,0,0,4096,910,1312,4511801344,11040858112,279179264,4005863424,2144,66375
23-03 09:22:29,15.174,19.403,65.423,0,0,0,0,591,377,4512309248,11040350208,279179264,4006387712,2144,66375
23-03 09:22:30,15.869,17.632,66.247,0.252,0,0,12288,359,960,4512301056,11040350208,279187456,4006387712,2144,66375
23-03 09:22:31,14,19.750,66.250,0,0,0,0,651,377,4512301056,11040350208,279187456,4006387712,2144,66375
23-03 09:22:32,14.888,19.603,65.509,0,0,0,0,975,419,4512301056,11040350208,279187456,4006387712,2144,66375
23-03 09:22:33,14.464,19.701,65.835,0,0,0,32768,1040,1596,4512292864,11040350208,279191552,4006391808,2144,66375
23-03 09:22:34,16.176,19.118,64.461,0.245,0,0,8192,171,377,4512292864,11040350208,279191552,4006391808,2144,66375
23-03 09:22:35,15.610,20,64.390,0,0,0,16384,1431,377,4512284672,11040350208,279199744,4006391808,2144,66375
23-03 09:22:36,17.468,15.949,66.582,0,0,0,0,1481,960,4512284672,11040350208,279199744,4006391808,2144,66375
23-03 09:22:37,15.842,18.812,65.347,0,0,0,0,1431,377,4512284672,11040350208,279199744,4006391808,2144,66375
23-03 09:22:38,15.136,19.603,65.261,0,0,0,12288,230,484,4512276480,11040350208,279207936,4006391808,2144,66375
23-03 09:22:39,16.958,17.706,65.337,0,0,0,0,281,960,4512276480,11040350208,279207936,4006391808,2144,66375
23-03 09:22:40,15.776,17.048,67.176,0,0,0,0,111,377,4512276480,11040350208,279207936,4006391808,2144,66375
23-03 09:22:41,17,17,65.750,0.250,0,0,12288,171,377,4512272384,11040350208,279212032,4006391808,2144,66375
23-03 09:22:42,17.526,14.433,68.041,0,0,0,0,221,960,4512268288,11040350208,279212032,4006395904,2144,66375
23-03 09:22:43,16.327,16.837,66.837,0,0,0,16384,1019,1312,4512264192,11040350208,279216128,4006395904,2144,66375
23-03 09:22:44,13.902,21.707,64.390,0,0,0,0,1247,377,4512264192,11040350208,279216128,4006395904,2144,66375
23-03 09:22:45,18.317,18.069,63.614,0,0,0,36864,1281,1447,4513280000,11039334400,279216128,4006395904,2144,66375
23-03 09:22:46,15.190,17.975,66.582,0.253,0,0,12288,531,377,4513275904,11039334400,279220224,4006395904,2144,66375
23-03 09:22:47,18.408,12.189,69.403,0,0,0,0,799,589,4597542912,10878201856,279220224,4156895232,2144,66375
23-03 09:22:48,24.500,1,74.500,0,0,0,61440,945,1275,4657762304,10757447680,279228416,4275945472,2144,66375
23-03 09:22:49,25.313,0,74.687,0,0,0,36864,591,377,4661948416,10753249280,279228416,4277891072,2144,66377
23-03 09:22:50,25.436,0.499,73.067,0.998,0,0,108089344,951,377,4667756544,10747441152,279228416,4279848960,2144,66377
23-03 09:22:51,25.377,0,74.623,0,0,0,430080,761,960,4672946176,10742235136,279232512,4282019840,2144,66377
23-03 09:22:52,23.441,0.249,76.060,0.249,0,0,16384,8843,199974,4665180160,10749988864,279232512,4283277312,2144,66376
23-03 09:22:53,23.058,0.251,76.692,0,0,0,0,29598,736414,4665180160,10749988864,279232512,4283277312,2144,66376
23-03 09:22:54,22.670,0,77.330,0,0,0,16384,29174,719574,4665171968,10749988864,279240704,4283277312,2144,66376
23-03 09:22:55,22.693,0.499,76.808,0,0,0,0,29265,727649,4665171968,10749988864,279240704,4283277312,2144,66376
23-03 09:22:56,22.418,0.252,77.078,0.252,0,0,131072,29595,727649,4665171968,10749988864,279244800,4283273216,2144,66376
23-03 09:22:57,23.058,0,76.942,0,0,0,0,29673,728719,4665167872,10749988864,279244800,4283277312,2144,66376
23-03 09:22:58,24.250,0.250,75.500,0,0,0,4096,30477,745939,4665167872,10749988864,279244800,4283277312,2144,66376
23-03 09:22:59,23.500,0,76.500,0,0,0,0,29472,736307,4665167872,10749988864,279244800,4283277312,2144,66376
23-03 09:23:00,25.126,1.508,73.367,0,0,0,45056,30495,735719,4665901056,10749255680,279248896,4283273216,2144,66401
23-03 09:23:01,23.940,0,76.060,0,0,0,0,29802,736307,4665798656,10749353984,279248896,4283277312,2144,66401
23-03 09:23:02,22.589,0,77.157,0.254,0,0,12288,28587,727649,4665667584,10749480960,279252992,4283277312,2144,66401
