"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/BASELINE_16384_2_run.csv",,,,"Date:","27 Mar 2020 21:19:01 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
27-03 21:19:01,4.643,0.655,94.489,0.213,0,4941363.957,1548911.576,0,0,1090142208,12136108032,392089600,2727583744,2080,257001
27-03 21:19:02,2.494,52.369,45.137,0,0,0,0,1212,1359,1474555904,11750998016,392089600,3105091584,2080,257005
27-03 21:19:03,1.504,64.912,33.584,0,0,0,0,400,1067,1875505152,11348160512,392089600,3499995136,2080,257005
27-03 21:19:04,5.250,65.750,29,0,0,0,0,751,7887,2266439680,10955505664,392089600,3883413504,2080,257031
27-03 21:19:05,0.752,65.664,33.584,0,0,0,0,291,377,2669858816,10550448128,392089600,4280410112,2080,257031
27-03 21:19:06,1.759,65.075,32.915,0.251,0,0,172032,610,1788,3073056768,10145398784,392089600,4676661248,2080,257031
27-03 21:19:07,1.008,65.491,33.501,0,0,0,0,2540,2619,3477237760,9739517952,392089600,5073321984,2080,257034
27-03 21:19:08,0.998,65.586,33.416,0,0,0,0,200,484,3880996864,9333989376,392089600,5469970432,2080,257034
27-03 21:19:09,1.008,65.239,33.753,0,0,0,0,281,960,4282085376,8931131392,392089600,5864435712,2080,257034
27-03 21:19:10,7.789,41.709,50.503,0,0,0,0,531,377,4469145600,8743120896,392089600,6049652736,2080,257034
27-03 21:19:11,16.209,17.955,65.835,0,0,0,61440,922,377,4469526528,8742739968,392089600,6050037760,2080,257034
27-03 21:19:12,16.121,17.128,66.499,0.252,0,0,12288,936,1465,4469526528,8742739968,392089600,6050037760,2080,257032
27-03 21:19:13,14.888,19.603,65.509,0,0,0,0,290,550,4469534720,8742739968,392089600,6050029568,2080,257032
27-03 21:19:14,15.539,18.045,66.416,0,0,0,0,111,377,4469534720,8742739968,392089600,6050029568,2080,257032
27-03 21:19:15,18.090,18.090,63.819,0,0,0,36864,1121,960,4469661696,8742612992,392089600,6050029568,2080,257032
27-03 21:19:16,15.212,18.953,65.586,0.249,0,0,8192,951,377,4469661696,8742612992,392089600,6050029568,2080,257032
27-03 21:19:17,14.787,18.797,66.165,0.251,0,0,16384,1011,377,4469661696,8742612992,392089600,6050029568,2080,257032
27-03 21:19:18,15.500,18.500,66,0,0,0,73728,400,1109,4469657600,8742612992,392089600,6050033664,2080,257031
27-03 21:19:19,15.881,18.610,65.509,0,0,0,0,1335,377,4469657600,8742612992,392089600,6050033664,2080,257031
27-03 21:19:20,16,18,66,0,0,0,0,951,377,4469657600,8742612992,392089600,6050033664,2080,257031
27-03 21:19:21,17.293,16.541,66.165,0,0,0,4096,1390,1788,4469657600,8742612992,392089600,6050033664,2080,257031
27-03 21:19:22,16.459,17.706,65.586,0.249,0,0,1011712,111,377,4469723136,8742547456,392089600,6050033664,2080,257031
27-03 21:19:23,14.787,19.048,65.915,0.251,0,0,69632,770,526,4469723136,8742547456,392089600,6050033664,2080,257031
27-03 21:19:24,15.250,18.750,66,0,0,0,0,801,1381,4469719040,8742547456,392089600,6050037760,2080,257031
27-03 21:19:25,17.293,16.291,66.416,0,0,0,0,1131,443,4469719040,8742547456,392089600,6050037760,2080,257031
27-03 21:19:26,16.625,16.877,66.499,0,0,0,0,651,377,4469719040,8742547456,392089600,6050037760,2080,257031
27-03 21:19:27,15.869,17.884,66.247,0,0,0,0,761,960,4469719040,8742547456,392089600,6050037760,2080,257031
27-03 21:19:28,14.888,19.603,65.261,0.248,0,0,28672,111,484,4469719040,8742547456,392089600,6050037760,2080,257031
27-03 21:19:29,19.202,9.726,71.072,0,0,0,0,517,589,4587352064,8512991232,392089600,6267895808,2080,257031
27-03 21:19:30,21.750,3.750,74.500,0,0,0,0,221,960,4798418944,8084766720,392089600,6689472512,2080,257031
27-03 21:19:31,21.303,4.010,74.687,0,0,0,36864,495,377,5014155264,7649533952,392089600,7115980800,2080,257033
