"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/BASELINE_16384_1_run.csv",,,,"Date:","27 Mar 2020 20:43:54 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
27-03 20:43:54,4.636,0.655,94.496,0.213,0,4943156.997,1548481.278,0,0,1090068480,12137033728,391331840,2727743488,2080,256999
27-03 20:43:55,2.488,51.741,45.771,0,0,0,0,1142,1942,1471057920,11755184128,391331840,3102715904,2080,257003
27-03 20:43:56,1,65.500,33.500,0,0,0,536576,435,377,1874956288,11349598208,391331840,3499368448,2080,257003
27-03 20:43:57,1.259,65.239,33.501,0,0,0,0,171,377,2276216832,10946502656,391331840,3893964800,2080,257003
27-03 20:43:58,1.003,65.664,33.333,0,0,0,2359296,552,960,2675904512,10545061888,391331840,4286894080,2080,257003
27-03 20:43:59,0.501,65.915,33.584,0,0,0,0,827,484,3076894720,10142367744,391331840,4680904704,2080,257003
27-03 20:44:00,1.247,65.337,33.167,0.249,0,0,249856,951,377,3476684800,9740804096,391331840,5073899520,2080,257003
27-03 20:44:01,1.259,65.239,33.501,0,0,0,0,1121,960,3875540992,9340162048,391331840,5465358336,2080,257003
27-03 20:44:02,0.756,65.743,33.501,0,0,0,0,531,377,4269793280,8944287744,391331840,5852839936,2080,257003
27-03 20:44:03,7.481,43.392,49.127,0,0,0,0,1071,377,4468658176,8744423424,391331840,6049480704,2080,257003
27-03 20:44:04,18.388,15.113,66.499,0,0,0,0,1370,1554,4469420032,8743661568,391331840,6050185216,2080,257003
27-03 20:44:05,18.362,20.347,61.290,0,0,0,4096,1980,8721,4469420032,8743661568,391331840,6050185216,2080,257025
27-03 20:44:06,15.288,18.546,65.915,0.251,0,0,12288,171,377,4469420032,8743661568,391331840,6050185216,2080,257025
27-03 20:44:07,16.040,17.794,66.165,0,0,0,0,281,960,4469420032,8743661568,391331840,6050185216,2080,257025
27-03 20:44:08,15.212,18.953,65.835,0,0,0,0,435,377,4469420032,8743661568,391331840,6050185216,2080,257025
27-03 20:44:09,15.829,17.839,66.080,0.251,0,0,45056,260,574,4469420032,8743661568,391331840,6050185216,2080,257026
27-03 20:44:10,15.461,18.703,65.835,0,0,0,0,641,960,4469420032,8743661568,391331840,6050185216,2080,257026
27-03 20:44:11,15.075,18.844,66.080,0,0,0,16384,591,377,4469420032,8743661568,391331840,6050185216,2080,257026
27-03 20:44:12,16,18,66,0,0,0,0,531,377,4469420032,8743661568,391331840,6050185216,2080,257026
27-03 20:44:13,16.337,18.317,65.347,0,0,0,0,281,960,4469420032,8743661568,391331840,6050185216,2080,257026
27-03 20:44:14,18.640,17.632,63.728,0,0,0,86016,1040,574,4469161984,8743915520,391331840,6050189312,2048,257026
27-03 20:44:15,15.500,18.500,66,0,0,0,0,1101,377,4469161984,8743915520,391331840,6050189312,2048,257026
27-03 20:44:16,15,19,66,0,0,0,0,1161,1447,4469161984,8743915520,391331840,6050189312,2048,257026
27-03 20:44:17,15.461,18.703,65.586,0.249,0,0,12288,171,377,4469157888,8743915520,391331840,6050193408,2048,257026
27-03 20:44:18,16.209,17.955,65.835,0,0,0,0,531,377,4469157888,8743915520,391331840,6050193408,2048,257026
27-03 20:44:19,15.881,18.610,65.509,0,0,0,12288,871,1109,4469157888,8743915520,391331840,6050193408,2048,257026
27-03 20:44:20,14.713,19.950,65.337,0,0,0,4096,1124,1205,4469157888,8743915520,391331840,6050193408,2048,257026
27-03 20:44:21,16.209,17.955,65.835,0,0,0,0,171,377,4469157888,8743915520,391331840,6050193408,2048,257026
27-03 20:44:22,17.424,11.111,71.465,0,0,0,0,429,1172,4576321536,8535486464,391331840,6247383040,2048,257026
27-03 20:44:23,22.829,2.978,73.945,0.248,0,0,20480,231,377,4789837824,8102547456,391331840,6673432576,2048,257026
27-03 20:44:24,21.500,4.250,74.250,0,0,0,69632,350,484,5003608064,7671894016,391331840,7095099392,2080,257028
27-03 20:44:25,22.362,3.015,74.623,0,0,0,0,821,960,5213433856,7248740352,391331840,7509225472,2080,257027
27-03 20:44:26,22.306,4.010,71.429,2.256,0,8192,292392960,923,377,5429026816,6813736960,391340032,7935225856,2080,257027
27-03 20:44:27,23.367,5.276,63.317,8.040,0,32768,1086222336,1011,377,5646598144,6376034304,391372800,8362377216,2080,257027
27-03 20:44:28,21.805,3.759,74.436,0,0,0,479232,741,1447,5857976320,5949845504,391372800,8779575296,2080,257027
27-03 20:44:29,21.554,3.759,74.687,0,0,0,16384,1088,523,6070517760,5521747968,391372800,9197973504,2080,257027
