"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_65536_2_run.csv",,,,"Date:","06 Apr 2020 19:42:11 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
06-04 19:42:11,4.419,0.632,94.662,0.287,0,4311449.475,1623338.431,0,0,334614528,13641904128,83914752,2485018624,1184,26085
06-04 19:42:12,1.256,52.764,45.980,0,0,307200,0,1881,1024,718127104,13257854976,83914752,2862776320,1184,26089
06-04 19:42:13,0.501,65.915,33.584,0,0,0,0,960,0,1112891392,12863160320,83914752,3251339264,1184,26089
06-04 19:42:14,1.010,65.152,33.838,0,0,0,0,60,188,1507139584,12468682752,83914752,3638956032,1184,26089
06-04 19:42:15,3.759,65.163,31.078,0,0,0,40960,619,4399,1895256064,12079157248,83914752,4019490816,1216,26091
06-04 19:42:16,0.506,65.823,33.671,0,0,0,86016,420,0,2292117504,11680526336,83922944,4410454016,1216,26091
06-04 19:42:17,0.504,65.743,33.501,0.252,0,0,94208,894,90,2690031616,11280670720,83931136,4801474560,1216,26091
06-04 19:42:18,1.253,65.163,33.584,0,0,0,0,420,90,3085815808,10883264512,83931136,5190553600,1216,26091
06-04 19:42:19,0.759,65.316,33.924,0,0,0,0,150,146,3481587712,10485772288,83931136,5579358208,1216,26091
06-04 19:42:20,8.040,44.724,47.236,0,0,315392,0,420,0,3712753664,10253324288,83931136,5807460352,1216,26091
06-04 19:42:21,15.174,18.905,65.920,0,0,0,12288,480,0,3713642496,10252435456,83939328,5808222208,1216,26091
06-04 19:42:22,16.459,17.456,66.085,0,0,0,0,840,0,3713634304,10252435456,83939328,5808230400,1216,26091
06-04 19:42:23,14.684,18.228,66.835,0.253,0,0,16384,480,0,3713748992,10252308480,83947520,5808234496,1216,26091
06-04 19:42:24,16.216,18.673,65.111,0,0,0,0,840,146,3713748992,10252308480,83947520,5808234496,1216,26091
06-04 19:42:25,16.237,15.722,68.041,0,0,0,0,480,0,3713748992,10252308480,83947520,5808234496,1216,26091
06-04 19:42:26,16.915,17.164,65.672,0.249,0,0,8192,676,0,3713748992,10252308480,83947520,5808234496,1216,26091
06-04 19:42:27,12.990,22.059,64.951,0,0,0,12288,480,0,3713744896,10252308480,83951616,5808234496,1216,26091
06-04 19:42:28,17.259,15.736,66.751,0.254,0,0,20480,420,0,3713736704,10252308480,83959808,5808234496,1216,26091
06-04 19:42:29,16.250,17.500,66.250,0,0,0,0,1189,146,3713732608,10252308480,83959808,5808238592,1216,26091
06-04 19:42:30,15.842,19.059,65.099,0,0,0,4096,535,1179,3713732608,10252308480,83959808,5808238592,1216,26091
06-04 19:42:31,16.368,16.113,67.519,0,0,0,0,180,0,3713732608,10252308480,83959808,5808238592,1216,26091
06-04 19:42:32,20.099,16.625,63.275,0,0,0,98304,60,0,3714392064,10251649024,83963904,5808234496,1216,26091
06-04 19:42:33,16.919,16.414,66.414,0.253,0,0,16384,120,0,3714228224,10251800576,83972096,5808238592,1216,26091
06-04 19:42:34,14.634,20.732,64.634,0,0,0,0,0,146,3714228224,10251800576,83972096,5808238592,1216,26091
06-04 19:42:35,15.174,19.154,65.672,0,0,0,0,180,84,3714220032,10251800576,83972096,5808246784,1216,26091
06-04 19:42:36,12.958,22.494,64.548,0,0,0,0,660,0,3714220032,10251800576,83972096,5808246784,1216,26091
