"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/BASELINE_65536_3_run.csv",,,,"Date:","06 Apr 2020 11:37:11 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
06-04 11:37:11,4.403,0.633,94.677,0.287,0,4329784.008,1597108.740,0,0,339247104,13745094656,20475904,2431860736,1280,30386
06-04 11:37:12,1.256,52.764,45.980,0,0,307200,0,1259,1089,720195584,13363814400,20475904,2807058432,1312,30392
06-04 11:37:13,1,65.500,33.500,0,0,0,0,120,0,1123868672,12960141312,20475904,3203588096,1312,30392
06-04 11:37:14,1.005,65.327,33.668,0,0,0,0,540,0,1526108160,12557000704,20475904,3599319040,1312,30392
06-04 11:37:15,1.253,66.165,32.581,0,0,0,0,1670,3571,1922240512,12159410176,20475904,3988201472,1312,30392
06-04 11:37:16,0.503,65.829,33.668,0,0,0,0,1320,0,2322034688,11757879296,20475904,4380815360,1312,30392
06-04 11:37:17,1.003,65.664,33.333,0,0,0,151552,1224,107,2720886784,11357204480,20492288,4773457920,1312,30392
06-04 11:37:18,1.496,65.087,33.416,0,0,0,0,110,0,3120898048,10955341824,20492288,5166911488,1312,30392
06-04 11:37:19,1.493,65.174,33.333,0,0,0,0,60,0,3520692224,10553761792,20492288,5559496704,1312,30392
06-04 11:37:20,8.020,42.105,49.624,0.251,0,315392,0,0,0,3718062080,10355400704,20492288,5754634240,1312,30394
06-04 11:37:21,16.377,18.362,65.261,0,0,0,4096,329,828,3718443008,10355019776,20492288,5755052032,1312,30394
06-04 11:37:22,16.708,17.706,65.586,0,0,0,49152,110,107,3718426624,10355019776,20508672,5755052032,1312,30394
06-04 11:37:23,16.995,17.980,65.025,0,0,0,0,60,0,3718426624,10355019776,20508672,5755052032,1312,30394
06-04 11:37:24,14.568,20.247,65.185,0,0,0,0,751,0,3718426624,10355019776,20508672,5755052032,1312,30394
06-04 11:37:25,16,18,66,0,0,0,0,540,0,3718426624,10355019776,20508672,5755052032,1312,30394
06-04 11:37:26,17.098,14.249,68.394,0.259,0,0,8192,618,0,3718426624,10355019776,20508672,5755052032,1312,30394
06-04 11:37:27,14.005,21.130,64.619,0.246,0,0,32768,209,107,3718414336,10355019776,20525056,5755047936,1312,30394
06-04 11:37:28,15.829,17.839,66.332,0,0,0,0,0,0,3718410240,10355019776,20525056,5755052032,1312,30394
06-04 11:37:29,14.815,20,65.185,0,0,0,0,384,0,3718410240,10355019776,20525056,5755052032,1312,30394
06-04 11:37:30,15.657,17.677,66.667,0,0,0,0,60,0,3718410240,10355019776,20525056,5755052032,1312,30394
06-04 11:37:31,15.461,18.703,65.835,0,0,0,0,60,0,3718410240,10355019776,20525056,5755052032,1312,30394
06-04 11:37:32,15.857,16.624,67.519,0,0,0,16384,1058,149,3718402048,10355019776,20533248,5755052032,1312,30394
06-04 11:37:33,17.188,14.062,68.750,0,0,0,12288,960,0,3718389760,10355019776,20541440,5755056128,1312,30394
06-04 11:37:34,16.919,16.667,66.414,0,0,0,0,960,0,3718389760,10355019776,20541440,5755056128,1312,30394
06-04 11:37:35,14.861,18.640,66.499,0,0,0,0,540,0,3718385664,10355019776,20541440,5755060224,1312,30394
06-04 11:37:36,16.332,17.588,66.080,0,0,0,4096,749,828,3718385664,10355019776,20541440,5755060224,1312,30394
06-04 11:37:37,16.500,17.500,65.750,0.250,0,0,16384,659,149,3718377472,10355019776,20549632,5755060224,1312,30394
06-04 11:37:38,14.461,20.833,64.706,0,0,0,86016,0,0,3718377472,10355019776,20549632,5755060224,1312,30394
06-04 11:37:39,17.929,10.606,71.465,0,0,0,0,268,212,3821146112,10158034944,20549632,5940563968,1312,30394
06-04 11:37:40,22.500,3.750,72,1.750,0,4096,251658240,420,0,4032589824,9728651264,20553728,6363758592,1312,30394
06-04 11:37:41,23.058,5.263,69.925,1.754,0,8192,251731968,804,0,4249075712,9292640256,20561920,6789873664,1344,30396
06-04 11:37:42,22.727,5.808,61.364,10.101,0,45056,1311137792,745,146,4465070080,8857100288,20615168,7216078848,1344,30396
06-04 11:37:43,22.500,3,74.500,0,0,0,1748992,60,0,4673130496,8438083584,20623360,7625555968,1344,30396
06-04 11:37:44,22.306,3.258,74.436,0,0,0,0,812,42,4889149440,8002473984,20623360,8051736576,1344,30397
06-04 11:37:45,21.750,3.750,74.500,0,0,0,0,480,0,5105221632,7566995456,20623360,8477626368,1344,30397
06-04 11:37:46,22.250,3.250,74.500,0,0,0,0,420,0,5321289728,7131516928,20623360,8903610368,1344,30397
06-04 11:37:47,22.943,3.741,72.070,1.247,0,4096,166539264,179,107,5529387008,6711816192,20635648,9314512896,1344,30397
06-04 11:37:48,21.750,4.250,72.500,1.500,0,4096,166391808,0,0,5744750592,6277607424,20647936,9739198464,1344,30397
06-04 11:37:49,21.945,4.738,71.072,2.244,0,12288,319737856,480,0,5902614528,5900558336,20660224,10104397824,1344,30398
06-04 11:37:50,22.166,4.282,69.773,3.778,0,12288,494665728,420,0,5905297408,5687308288,20676608,10309234688,1344,30398
06-04 11:37:51,21.554,5.514,70.927,2.005,0,12288,332554240,749,828,5916155904,5465956352,20688896,10514001920,1344,30404
06-04 11:37:52,23.618,4.020,70.352,2.010,0,8192,323067904,170,107,5911756800,5259943936,20705280,10718806016,1344,30398
06-04 11:37:53,21.628,5.852,63.359,9.160,0,24576,1159684096,444,0,5914464256,5038100480,20738048,10931912704,1344,30398
06-04 11:37:54,22.195,3.741,74.065,0,0,0,4292608,540,0,5917122560,4819226624,20738048,11142180864,1344,30399
06-04 11:37:55,21.750,4.750,71,2.500,0,0,330215424,540,0,5920219136,4603015168,20738048,11349688320,1344,30399
06-04 11:37:56,22.195,4.239,71.072,2.494,0,12288,322961408,1038,0,5922668544,4381372416,20750336,11562766336,1344,30399
06-04 11:37:57,22.166,4.282,70.781,2.771,0,0,322985984,629,107,5924941824,4165074944,20758528,11770957824,1344,30399
06-04 11:37:58,21.827,5.584,63.706,8.883,0,24576,1153081344,480,0,5928128512,3946614784,20791296,11980505088,1344,30399
06-04 11:37:59,22,3.750,74.250,0,0,0,4194304,120,0,5930475520,3733471232,20791296,12185452544,1344,30399
06-04 11:38:00,21.357,4.774,71.357,2.513,0,8192,322961408,0,0,5933568000,3509280768,20799488,12400607232,1376,30399
06-04 11:38:01,21.859,4.020,71.859,2.261,0,0,324546560,60,0,5935636480,3296608256,20799488,12605571072,1376,30399
06-04 11:38:02,19.543,4.569,71.574,4.315,0,8192,641925120,119,107,5938102272,3108904960,20815872,12785668096,1376,30399
06-04 11:38:03,22.444,3.242,74.314,0,0,0,3809280,60,0,5940707328,2887221248,20824064,12998729728,1376,30399
06-04 11:38:04,21.921,8.128,61.576,8.374,0,24576,1149034496,0,0,5942743040,2674585600,20848640,13203681280,1376,30399
06-04 11:38:05,22,3.500,74.500,0,0,0,4194304,384,0,5945282560,2453155840,20848640,13416673280,1376,30400
06-04 11:38:06,22.250,5,68.250,4.500,0,4096,570171392,269,828,5947813888,2231521280,20852736,13629739008,1376,30400
06-04 11:38:07,22.362,3.518,73.116,1.005,0,0,165502976,179,107,5950746624,2018189312,20860928,13834543104,1376,30400
06-04 11:38:08,21.891,4.478,71.144,2.488,0,12288,322002944,0,0,5953290240,1796759552,20881408,14047354880,1376,30400
06-04 11:38:09,21.717,5.556,63.889,8.838,0,16384,1144799232,60,0,5955948544,1585393664,20897792,14250381312,1376,30400
06-04 11:38:10,22.306,3.008,74.687,0,0,0,4194304,0,0,5958713344,1370075136,20897792,14457131008,1376,30401
06-04 11:38:11,24.129,3.980,71.891,0,0,0,3747840,60,0,5963292672,1146466304,20897792,14670241792,1344,30403
06-04 11:38:12,22.362,5.276,67.839,4.523,0,4096,685563904,170,107,5965545472,933548032,20901888,14875197440,1344,30403
06-04 11:38:13,20.551,5.263,71.930,2.256,0,12288,323239936,180,42,5967982592,721022976,20930560,15079538688,1344,30403
06-04 11:38:14,19.747,6.835,65.316,8.101,0,20480,1139834880,120,0,5970722816,527491072,20951040,15265136640,1344,30403
06-04 11:38:15,22.250,4.250,73.500,0,0,0,4194304,410,3559,5973667840,310775808,20951040,15473119232,1344,30404
06-04 11:38:16,21.805,3.759,74.436,0,0,0,3674112,60,0,5976662016,208846848,14929920,15572451328,1344,30470
06-04 11:38:17,22.500,5.500,67,5,0,4096,690458624,473,107,5978734592,209858560,14934016,15563657216,1344,30871
06-04 11:38:18,20.948,5.736,71.820,1.496,0,8192,226603008,60,0,5981466624,208138240,14958592,15561682944,1344,30871
06-04 11:38:19,20.707,5.303,69.192,4.798,0,12288,751296512,120,0,5984034816,208445440,14974976,15558934528,1344,30581
06-04 11:38:20,21.212,5.303,69.697,3.788,0,8192,478584832,60,0,5987872768,204390400,14983168,15557922816,1344,30581
06-04 11:38:21,24.121,1.256,74.623,0,0,0,4198400,544,1036,5990309888,215437312,14983168,15544459264,1344,30581
06-04 11:38:22,24.750,0.750,74.500,0,0,0,3670016,89,107,5993103360,212643840,14983168,15544459264,1344,30581
06-04 11:38:23,24.750,0.750,74.500,0,0,0,4292608,60,0,5995757568,209977344,14991360,15544463360,1344,30581
06-04 11:38:24,24.250,1,74.750,0,0,0,4194304,0,0,5997916160,207818752,14991360,15544463360,1344,30581
06-04 11:38:25,24.938,0.748,74.314,0,0,0,4194304,60,0,6000328704,205406208,14991360,15544463360,1344,30581
06-04 11:38:26,24.250,1.250,74.500,0,0,0,4194304,318,84,6002995200,202739712,14991360,15544463360,1344,30581
06-04 11:38:27,24.311,1.003,74.687,0,0,0,3698688,278,149,6005788672,199946240,14999552,15544455168,1344,30581
06-04 11:38:28,24.561,0.752,74.687,0,0,0,4292608,391,0,6008438784,197279744,15007744,15544463360,1344,30581
06-04 11:38:29,24.814,0.993,74.194,0,0,0,4194304,384,0,6011105280,194613248,15007744,15544463360,1344,30581
06-04 11:38:30,24.500,1,74.500,0,0,0,4194304,60,0,6013898752,191819776,15007744,15544463360,1344,30581
06-04 11:38:31,24.938,0.748,74.314,0,0,0,4194304,60,0,6016692224,189026304,15007744,15544463360,1344,30581
