"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/twitter_BASELINE_10_3_run.csv",,,,"Date:","10 Apr 2020 18:41:46 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
10-04 18:41:46,4.295,0.619,94.720,0.366,0,4108934.442,1620261.025,0,0,342007808,14405578752,44138496,1777414144,1248,25525
10-04 18:41:47,0.754,0,97.739,1.508,0,0,6725632,3639,1459,340041728,14407360512,44163072,1778106368,1216,25527
10-04 18:41:48,0.251,0,99.749,0,0,0,0,0,0,340041728,14407360512,44163072,1778106368,1216,25527
10-04 18:41:49,2.513,29.397,68.090,0,0,0,36864,1739,1276,577994752,14169407488,44163072,2012729344,1216,25531
10-04 18:41:50,1.496,65.087,33.416,0,0,0,0,420,0,986288128,13761114112,44163072,2413252608,1216,25531
10-04 18:41:51,1.005,65.578,33.417,0,0,0,81920,480,0,1392435200,13354958848,44171264,2812329984,1216,25531
10-04 18:41:52,0.993,65.757,33.002,0.248,0,0,69632,683,146,1797296128,12948967424,44179456,3210280960,1216,25531
10-04 18:41:53,1.247,65.087,33.416,0.249,0,0,790528,60,0,2200862720,12543541248,44179456,3606941696,1216,25531
10-04 18:41:54,0.752,65.664,33.584,0,0,0,0,198,0,2612617216,12130197504,44179456,4010561536,1216,25531
10-04 18:41:55,1.990,63.930,34.080,0,0,0,0,392,0,3004366848,11736694784,44179456,4396572672,1216,25531
10-04 18:41:56,1.003,65.414,33.584,0,0,0,0,180,0,3404677120,11334533120,44179456,4789878784,1216,25531
10-04 18:41:57,3.038,56.456,40.506,0,0,0,12288,1518,498,3717361664,11020410880,44187648,5098446848,1216,25531
10-04 18:41:58,15.617,17.632,66.499,0.252,0,0,16384,900,0,3719512064,11018252288,44195840,5100544000,1216,25531
10-04 18:41:59,15.309,19.259,65.432,0,0,0,0,900,0,3719512064,11018252288,44195840,5100544000,1216,25531
10-04 18:42:00,16.209,17.706,66.085,0,0,0,0,0,0,3719512064,11018252288,44195840,5100544000,1216,25531
10-04 18:42:01,16.040,18.045,65.915,0,0,0,12288,329,779,3719385088,11018379264,44195840,5100544000,1216,25531
10-04 18:42:02,15.897,16.154,67.692,0.256,0,0,32768,411,146,3719376896,11018379264,44204032,5100544000,1216,25531
10-04 18:42:03,15.385,19.107,65.261,0.248,0,0,20480,120,0,3719368704,11018379264,44212224,5100544000,1216,25531
10-04 18:42:04,15.113,18.136,66.751,0,0,0,0,804,0,3719368704,11018379264,44212224,5100544000,1216,25531
10-04 18:42:05,16.373,17.128,66.499,0,0,0,0,480,0,3719368704,11018379264,44212224,5100544000,1216,25531
10-04 18:42:06,15.617,17.632,66.751,0,0,0,0,420,0,3719368704,11018379264,44212224,5100544000,1216,25531
10-04 18:42:07,15.711,18.454,65.835,0,0,0,12288,180,230,3719360512,11018379264,44220416,5100544000,1216,25531
