"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_BASELINE_10_1_run.csv",,,,"Date:","13 Apr 2020 12:21:22 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
13-04 12:21:22,4.264,0.607,94.764,0.365,0,3977957.255,1666714.997,0,0,294207488,4482891776,449912832,11049013248,1344,73499
13-04 12:21:23,0.752,7.268,91.729,0.251,0,0,151552,5922,2422,399933440,4376518656,449912832,11154882560,1280,73501
13-04 12:21:24,1,66,33,0,0,0,1212416,558,0,801517568,3973214208,449912832,11550408704,1280,73501
13-04 12:21:25,1.256,65.578,33.166,0,0,0,0,480,0,1204064256,3568914432,449912832,11945926656,1280,73501
13-04 12:21:26,1.008,66.247,31.990,0.756,0,0,120659968,420,0,1603956736,3167186944,449912832,12340674560,1280,73501
13-04 12:21:27,0.503,69.849,22.362,7.286,0,0,1156997120,804,0,2001293312,2768089088,449916928,12731371520,1280,73501
13-04 12:21:28,1.010,65.657,33.081,0.253,0,0,258048,1010,107,2401660928,2365997056,449916928,13125685248,1280,73501
13-04 12:21:29,1,66,33,0,0,0,0,900,0,2797555712,1968332800,449916928,13514846208,1280,73501
13-04 12:21:30,0.748,66.334,32.918,0,0,0,0,1171,0,3192516608,1571700736,449916928,13903048704,1280,73501
13-04 12:21:31,1.005,65.829,33.166,0,0,0,0,480,0,3595665408,1166782464,449916928,14299942912,1280,73501
13-04 12:21:32,12.750,26.750,60.500,0,0,0,0,0,0,3668942848,1093062656,449916928,14372147200,1280,73501
13-04 12:21:33,15.327,18.342,66.332,0,0,0,12288,269,197,3668942848,1093062656,449916928,14372147200,1280,73501
13-04 12:21:34,16.459,17.456,65.835,0.249,0,0,16384,0,0,3668938752,1093062656,449921024,14372147200,1280,73501
13-04 12:21:35,16.040,18.045,65.915,0,0,0,4096,329,759,3668938752,1093062656,449921024,14372147200,1280,73501
13-04 12:21:36,16,17.500,66.500,0,0,0,0,0,0,3668938752,1093062656,449921024,14372147200,1280,73501
13-04 12:21:37,14.713,19.451,65.586,0.249,0,0,8192,60,0,3668938752,1093062656,449921024,14372147200,1280,73501
13-04 12:21:38,15.288,18.296,66.416,0,0,0,28672,149,107,3668938752,1093062656,449921024,14372147200,1280,73501
13-04 12:21:39,17.561,17.805,64.146,0.488,0,0,20480,504,0,3668938752,1093062656,449921024,14372147200,1280,73501
13-04 12:21:40,14.750,19.250,66,0,0,0,28672,120,0,3668934656,1093062656,449925120,14372147200,1280,73501
13-04 12:21:41,14.536,19.048,66.416,0,0,0,0,540,0,3668934656,1093062656,449925120,14372147200,1280,73501
13-04 12:21:42,16.250,17.500,66.250,0,0,0,0,840,0,3668934656,1093062656,449925120,14372147200,1280,73501
13-04 12:21:43,14.604,19.802,65.594,0,0,0,0,1070,149,3668934656,1093062656,449925120,14372147200,1280,73501
13-04 12:21:44,15.404,17.677,66.667,0.253,0,0,16384,420,0,3668926464,1093062656,449929216,14372151296,1280,73501
13-04 12:21:45,15.578,18.090,66.332,0,0,0,0,60,0,3668926464,1093062656,449929216,14372151296,1280,73501
13-04 12:21:46,18.750,17.750,63.500,0,0,0,36864,0,0,3670118400,1091833856,449929216,14372188160,1280,73501
13-04 12:21:47,15.113,18.136,66.751,0,0,0,0,60,0,3670192128,1091792896,449929216,14372155392,1280,73501
13-04 12:21:48,15.789,18.045,66.165,0,0,0,49152,569,149,3670192128,1091792896,449933312,14372151296,1280,73498
13-04 12:21:49,14.750,19,66,0.250,0,0,16384,480,0,3670183936,1091792896,449937408,14372155392,1280,73498
13-04 12:21:50,15.250,19.750,65,0,0,0,4096,821,20407,3670261760,1091715072,449937408,14372155392,1280,73498
13-04 12:21:51,23.192,2.494,74.314,0,0,0,0,807,420,3722612736,996237312,449937408,14457618432,1312,73498
13-04 12:21:52,25.436,0.499,74.065,0,0,0,61440,0,0,3730866176,987983872,449937408,14459834368,1312,73500
13-04 12:21:53,24.060,0.251,75.439,0.251,0,0,18685952,3324,9165,3728912384,989884416,449937408,14462889984,1344,73499
13-04 12:21:54,16.080,0.503,83.166,0.251,0,0,225280,144150,1155447,3729694720,989093888,449945600,14463578112,1344,73499
13-04 12:21:55,17.085,0.503,82.412,0,0,0,0,148382,1046229,3729694720,989093888,449945600,14463578112,1344,73499
13-04 12:21:56,17.544,0,82.456,0,0,0,0,155743,1103799,3729690624,989093888,449945600,14463582208,1344,73499
13-04 12:21:57,17.839,0.503,81.658,0,0,0,0,156726,1104894,3729690624,989093888,449945600,14463582208,1344,73499
13-04 12:21:58,16.915,0.498,82.338,0.249,0,0,139264,153362,1084540,3729690624,989093888,449945600,14463582208,1344,73499
13-04 12:21:59,18.182,0,81.818,0,0,0,24576,158646,1125355,3729682432,989093888,449949696,14463586304,1344,73499
13-04 12:22:00,17,0,83,0,0,0,0,145284,1040323,3729682432,989093888,449949696,14463586304,1344,73499
