"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_5_run.csv",,,,"Date:","14 Apr 2020 11:19:19 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
14-04 11:19:19,4.266,0.603,94.770,0.361,0,3933066.888,1652268.261,0,0,293691392,4431851520,472145920,11075653632,1280,73617
14-04 11:19:20,0.750,8.750,90.250,0.250,0,0,81920,3850,2085,410705920,4314357760,472145920,11192573952,1216,73619
14-04 11:19:21,1.500,65.500,33,0,0,0,0,120,0,809615360,3913646080,472145920,11585077248,1216,73619
14-04 11:19:22,1.013,65.570,33.418,0,0,0,3780608,0,0,1208692736,3512905728,472150016,11977900032,1216,73619
14-04 11:19:23,1.247,65.835,32.668,0.249,0,0,32292864,589,146,1606762496,3113164800,472150016,12370063360,1216,73619
14-04 11:19:24,1.519,69.367,22.278,6.835,0,0,1272918016,771,167,1997303808,2720804864,472150016,12754358272,1216,73619
14-04 11:19:25,1,65.500,33.250,0.250,0,0,167936,540,0,2396594176,2319949824,472158208,13146501120,1216,73619
14-04 11:19:26,1.005,65.327,33.668,0,0,0,0,60,0,2794123264,1920536576,472158208,13537878016,1216,73619
14-04 11:19:27,1.741,63.682,34.577,0,0,0,0,804,0,3181637632,1531498496,472158208,13918162944,1216,73619
14-04 11:19:28,1.504,64.160,34.336,0,0,0,0,649,188,3569217536,1142161408,472158208,14299639808,1216,73619
14-04 11:19:29,11,31,58,0,0,0,12288,540,0,3669725184,1041059840,472162304,14398406656,1216,73619
14-04 11:19:30,15.881,18.610,65.261,0.248,0,0,20480,749,779,3669594112,1041186816,472166400,14398406656,1216,73619
14-04 11:19:31,16.915,17.164,65.920,0,0,0,0,540,0,3669594112,1041186816,472166400,14398406656,1216,73619
14-04 11:19:32,14.963,18.953,66.085,0,0,0,0,420,0,3669594112,1041186816,472166400,14398406656,1216,73619
14-04 11:19:33,14.070,19.598,66.332,0,0,0,0,921,146,3669594112,1041186816,472166400,14398406656,1216,73619
14-04 11:19:34,14.787,18.797,66.165,0.251,0,0,8192,420,0,3669594112,1041186816,472166400,14398406656,1216,73619
14-04 11:19:35,15.385,19.107,65.509,0,0,0,49152,480,0,3669590016,1041186816,472170496,14398406656,1216,73619
14-04 11:19:36,14.975,17.766,67.259,0,0,0,0,0,0,3669590016,1041186816,472170496,14398406656,1216,73619
14-04 11:19:37,16.291,17.544,66.165,0,0,0,0,150,90,3669590016,1041186816,472170496,14398406656,1216,73619
14-04 11:19:38,16.040,17.544,66.416,0,0,0,0,771,146,3669590016,1041186816,472170496,14398406656,1216,73619
14-04 11:19:39,15.461,18.454,66.085,0,0,0,0,804,0,3669590016,1041186816,472170496,14398406656,1216,73619
14-04 11:19:40,14.713,19.202,65.835,0.249,0,0,16384,420,0,3669585920,1041186816,472174592,14398406656,1216,73619
14-04 11:19:41,15.633,18.610,65.757,0,0,0,0,60,0,3669585920,1041186816,472174592,14398406656,1216,73619
14-04 11:19:42,14.750,19.250,66,0,0,0,0,420,0,3669585920,1041186816,472174592,14398406656,1216,73619
14-04 11:19:43,15.288,18.296,66.416,0,0,0,12288,590,107,3669581824,1041186816,472174592,14398410752,1216,73619
14-04 11:19:44,15.113,18.136,66.751,0,0,0,0,900,0,3669577728,1041186816,472174592,14398414848,1216,73619
14-04 11:19:45,17.413,18.905,63.433,0.249,0,0,57344,899,869,3670323200,1040465920,472182784,14398382080,1248,73619
