"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_2_run.csv",,,,"Date:","12 Apr 2020 23:08:26 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
12-04 23:08:26,4.271,0.609,94.752,0.367,0,4004232.813,1650768.264,0,0,288985088,4763766784,424058880,10844540928,1376,38050
12-04 23:08:27,2.709,7.882,88.670,0.739,0,0,299008,5885,2363,398594048,4653613056,424062976,10953846784,1312,38054
12-04 23:08:28,0.504,65.743,33.753,0,0,0,0,480,0,794791936,4255694848,424062976,11343077376,1312,38054
12-04 23:08:29,1.493,64.925,33.582,0,0,0,0,899,146,1197400064,3851415552,424062976,11738525696,1312,38054
12-04 23:08:30,0.504,66.247,32.997,0.252,0,0,12582912,60,0,1597050880,3449913344,424062976,12131340288,1312,38054
12-04 23:08:31,1.259,65.995,9.572,23.174,0,12288,354476032,180,0,1997500416,3047747584,424079360,12525129728,1312,38054
12-04 23:08:32,0.510,68.878,22.959,7.653,0,32768,929845248,480,0,2395820032,2647543808,424116224,12916936704,1312,38054
12-04 23:08:33,0.998,65.586,33.416,0,0,0,0,540,0,2796503040,2245124096,424116224,13310799872,1312,38054
12-04 23:08:34,1.003,65.414,33.584,0,0,0,0,509,107,3195686912,1844252672,424116224,13703184384,1312,38054
12-04 23:08:35,1.250,65.500,33.250,0,0,0,1118208,60,0,3595673600,1442496512,424116224,14096216064,1312,38054
12-04 23:08:36,11.911,28.288,59.801,0,0,0,0,0,0,3667582976,1370259456,424116224,14167621632,1312,38054
12-04 23:08:37,16.129,18.362,65.509,0,0,0,69632,480,0,3667582976,1370259456,424120320,14167617536,1312,38054
12-04 23:08:38,14.750,19,66.250,0,0,0,0,420,0,3667578880,1370259456,424120320,14167621632,1312,38054
12-04 23:08:39,15.960,17.955,65.835,0.249,0,0,36864,1215,188,3667701760,1370132480,424120320,14167625728,1312,38054
12-04 23:08:40,18.020,17.259,64.721,0,0,0,40960,689,779,3668209664,1369624576,424120320,14167625728,1312,38054
