/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 21:22:30:025 0 sec: 0 operations; est completion in 0 second 
2020-03-20 21:22:40:009 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 21:22:50:009 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-20 21:23:00:009 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-20 21:23:10:009 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 21:23:20:009 3 sec: 985 operations; 98.5 current ops/sec; est completion in 11 hours 3 minutes [READ: Count=986, Max=9607, Min=3132, Avg=3869.59, 90=4107, 99=6839, 99.9=9607, 99.99=9607] 
2020-03-20 21:23:30:009 13 sec: 3723 operations; 273.8 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2737, Max=9103, Min=2954, Avg=3621.95, 90=3889, 99=4033, 99.9=6439, 99.99=9103] 
2020-03-20 21:23:40:009 23 sec: 6357 operations; 263.4 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2634, Max=10687, Min=3050, Avg=3764.26, 90=3897, 99=4423, 99.9=9687, 99.99=10687] 
2020-03-20 21:23:50:009 33 sec: 8981 operations; 262.4 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2624, Max=10127, Min=3144, Avg=3792.23, 90=3897, 99=6499, 99.9=9319, 99.99=10127] 
2020-03-20 21:24:00:009 43 sec: 11628 operations; 264.7 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2647, Max=9687, Min=3046, Avg=3760.14, 90=3871, 99=5335, 99.9=9375, 99.99=9687] 
2020-03-20 21:24:10:009 53 sec: 14277 operations; 264.93 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2650, Max=10911, Min=3192, Avg=3757.3, 90=3871, 99=5547, 99.9=9087, 99.99=10911] 
2020-03-20 21:24:20:009 63 sec: 17018 operations; 274.07 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2740, Max=11791, Min=2928, Avg=3635.8, 90=3847, 99=4435, 99.9=9159, 99.99=11791] 
2020-03-20 21:24:30:009 73 sec: 19640 operations; 262.2 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2622, Max=9383, Min=3322, Avg=3797.04, 90=3889, 99=6495, 99.9=9207, 99.99=9383] 
2020-03-20 21:24:40:009 83 sec: 22309 operations; 266.9 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2669, Max=9511, Min=2930, Avg=3730.45, 90=3855, 99=6283, 99.9=9303, 99.99=9511] 
2020-03-20 21:24:50:009 93 sec: 24977 operations; 266.8 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2669, Max=9407, Min=3092, Avg=3730.94, 90=3875, 99=4379, 99.9=9039, 99.99=9407] 
2020-03-20 21:25:00:009 103 sec: 27674 operations; 269.7 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2696, Max=9399, Min=2978, Avg=3693.16, 90=3853, 99=4787, 99.9=9287, 99.99=9399] 
