/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 22:32:44:198 0 sec: 0 operations; est completion in 0 second 
2020-03-20 22:32:54:181 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 22:33:04:181 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-20 22:33:14:181 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-20 22:33:24:181 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 22:33:34:181 3 sec: 1004 operations; 100.4 current ops/sec; est completion in 10 hours 29 minutes [READ: Count=1005, Max=9095, Min=3068, Avg=3686.4, 90=4009, 99=5355, 99.9=6859, 99.99=9095] 
2020-03-20 22:33:44:181 13 sec: 3760 operations; 275.6 current ops/sec; est completion in 10 hours 11 minutes [READ: Count=2755, Max=9551, Min=2928, Avg=3604.21, 90=3939, 99=4243, 99.9=9231, 99.99=9551] 
2020-03-20 22:33:54:181 23 sec: 6355 operations; 259.47 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2596, Max=10815, Min=3296, Avg=3822.62, 90=3935, 99=5687, 99.9=9687, 99.99=10815] 
2020-03-20 22:34:04:181 33 sec: 9015 operations; 266.03 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2659, Max=9783, Min=3106, Avg=3740.74, 90=3885, 99=5383, 99.9=9279, 99.99=9783] 
2020-03-20 22:34:14:181 43 sec: 11644 operations; 262.87 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2629, Max=10887, Min=3276, Avg=3785.42, 90=3897, 99=5447, 99.9=9471, 99.99=10887] 
2020-03-20 22:34:24:181 53 sec: 14271 operations; 262.73 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2628, Max=10439, Min=2992, Avg=3789.71, 90=3909, 99=6551, 99.9=9415, 99.99=10439] 
2020-03-20 22:34:34:181 63 sec: 16911 operations; 263.97 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2639, Max=15535, Min=3032, Avg=3772.48, 90=3893, 99=6531, 99.9=9383, 99.99=15535] 
2020-03-20 22:34:44:181 73 sec: 19556 operations; 264.53 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2646, Max=9311, Min=2960, Avg=3763.05, 90=3883, 99=5463, 99.9=9159, 99.99=9311] 
2020-03-20 22:34:54:181 83 sec: 22171 operations; 261.5 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2614, Max=9423, Min=3108, Avg=3807.41, 90=3901, 99=6587, 99.9=9351, 99.99=9423] 
2020-03-20 22:35:04:181 93 sec: 24809 operations; 263.8 current ops/sec; est completion in 10 hours 28 minutes [READ: Count=2638, Max=9295, Min=2846, Avg=3773.79, 90=3897, 99=5443, 99.9=9279, 99.99=9295] 
