/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-29 00:53:05:266 0 sec: 0 operations; est completion in 0 second 
2020-03-29 00:53:15:250 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:53:25:250 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-29 00:53:35:250 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:53:45:250 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-29 00:53:55:250 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:54:05:250 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:54:15:250 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:54:25:250 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:54:35:250 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:54:45:250 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 00:54:55:250 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-29 00:55:05:250 2 sec: 52 operations; 5.2 current ops/sec; est completion in 5 days 22 hours [SCAN: Count=52, Max=97599, Min=4692, Avg=50438, 90=93951, 99=97599, 99.9=97599, 99.99=97599] 
2020-03-29 00:55:15:249 12 sec: 241 operations; 18.9 current ops/sec; est completion in 6 days 1 hour [SCAN: Count=189, Max=95999, Min=4504, Avg=52615.19, 90=86655, 99=94975, 99.9=95999, 99.99=95999] 
2020-03-29 00:55:25:250 22 sec: 449 operations; 20.8 current ops/sec; est completion in 5 days 20 hours [SCAN: Count=208, Max=119359, Min=4100, Avg=47951.85, 90=83519, 99=97023, 99.9=119359, 99.99=119359] 
2020-03-29 00:55:35:250 32 sec: 654 operations; 20.5 current ops/sec; est completion in 5 days 18 hours [SCAN: Count=205, Max=110655, Min=4388, Avg=48553.17, 90=84927, 99=98943, 99.9=110655, 99.99=110655] 
2020-03-29 00:55:45:250 42 sec: 860 operations; 20.6 current ops/sec; est completion in 5 days 17 hours [SCAN: Count=206, Max=111359, Min=4212, Avg=48874.24, 90=81919, 99=97535, 99.9=111359, 99.99=111359] 
2020-03-29 00:55:55:250 52 sec: 1080 operations; 22 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=220, Max=99903, Min=4552, Avg=45276.19, 90=82943, 99=97151, 99.9=99903, 99.99=99903] 
2020-03-29 00:56:05:250 62 sec: 1280 operations; 20 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=200, Max=101631, Min=4268, Avg=49991.48, 90=87039, 99=98175, 99.9=101631, 99.99=101631] 
2020-03-29 00:56:15:250 72 sec: 1490 operations; 21 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=210, Max=95615, Min=4300, Avg=47413.3, 90=83583, 99=92735, 99.9=95615, 99.99=95615] 
2020-03-29 00:56:25:250 82 sec: 1695 operations; 20.5 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=205, Max=103935, Min=4008, Avg=48960.23, 90=87615, 99=98879, 99.9=103935, 99.99=103935] 
2020-03-29 00:56:35:250 92 sec: 1899 operations; 20.4 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=204, Max=105151, Min=4420, Avg=49022.6, 90=82815, 99=104575, 99.9=105151, 99.99=105151] 
2020-03-29 00:56:45:250 102 sec: 2097 operations; 19.8 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=198, Max=101183, Min=4136, Avg=50536.14, 90=83711, 99=92799, 99.9=101183, 99.99=101183] 
2020-03-29 00:56:55:250 112 sec: 2303 operations; 20.6 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=206, Max=100031, Min=4552, Avg=48203.95, 90=87487, 99=95039, 99.9=100031, 99.99=100031] 
2020-03-29 00:57:05:250 122 sec: 2507 operations; 20.4 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=204, Max=108223, Min=4572, Avg=49294.27, 90=84735, 99=99007, 99.9=108223, 99.99=108223] 
2020-03-29 00:57:15:250 132 sec: 2717 operations; 21 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=210, Max=100927, Min=4456, Avg=47550.47, 90=87487, 99=99839, 99.9=100927, 99.99=100927] 
2020-03-29 00:57:25:250 142 sec: 2901 operations; 18.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=184, Max=100863, Min=4496, Avg=54204.3, 90=88063, 99=93247, 99.9=100863, 99.99=100863] 
2020-03-29 00:57:35:250 152 sec: 3111 operations; 21 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=210, Max=107199, Min=4468, Avg=47606.62, 90=83775, 99=99839, 99.9=107199, 99.99=107199] 
2020-03-29 00:57:45:250 162 sec: 3326 operations; 21.5 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=215, Max=110783, Min=4428, Avg=46572.67, 90=83967, 99=93887, 99.9=110783, 99.99=110783] 
2020-03-29 00:57:55:250 172 sec: 3534 operations; 20.8 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=208, Max=97663, Min=4360, Avg=47982.37, 90=84927, 99=92863, 99.9=97663, 99.99=97663] 
2020-03-29 00:58:05:251 182 sec: 3737 operations; 20.3 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=203, Max=105535, Min=4572, Avg=49282.69, 90=86015, 99=95679, 99.9=105535, 99.99=105535] 
2020-03-29 00:58:15:250 192 sec: 3942 operations; 20.5 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=205, Max=104575, Min=4456, Avg=48674.88, 90=86143, 99=103231, 99.9=104575, 99.99=104575] 
2020-03-29 00:58:25:250 202 sec: 4144 operations; 20.2 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=202, Max=104959, Min=4436, Avg=49476.63, 90=87423, 99=99583, 99.9=104959, 99.99=104959] 
2020-03-29 00:58:35:250 212 sec: 4347 operations; 20.3 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=203, Max=103871, Min=4564, Avg=49103.13, 90=83199, 99=92415, 99.9=103871, 99.99=103871] 
2020-03-29 00:58:45:257 222 sec: 4549 operations; 20.2 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=202, Max=103359, Min=4264, Avg=49611.68, 90=87423, 99=100287, 99.9=103359, 99.99=103359] 
2020-03-29 00:58:55:250 232 sec: 4759 operations; 21 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=210, Max=99519, Min=4556, Avg=47613.25, 90=83007, 99=93247, 99.9=99519, 99.99=99519] 
2020-03-29 00:59:05:250 242 sec: 4972 operations; 21.3 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=213, Max=117631, Min=4524, Avg=46892.43, 90=83007, 99=95039, 99.9=117631, 99.99=117631] 
2020-03-29 00:59:15:250 252 sec: 5176 operations; 20.4 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=204, Max=103743, Min=4496, Avg=49010.77, 90=87487, 99=92607, 99.9=103743, 99.99=103743] 
2020-03-29 00:59:25:249 262 sec: 5376 operations; 20 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=200, Max=105151, Min=4408, Avg=49695.09, 90=87935, 99=101503, 99.9=105151, 99.99=105151] 
2020-03-29 00:59:35:250 272 sec: 5572 operations; 19.6 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=196, Max=115711, Min=4340, Avg=51039.16, 90=83391, 99=94975, 99.9=115711, 99.99=115711] 
2020-03-29 00:59:45:250 282 sec: 5773 operations; 20.1 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=201, Max=104383, Min=4480, Avg=49698.45, 90=87807, 99=94783, 99.9=104383, 99.99=104383] 
2020-03-29 00:59:55:250 292 sec: 5977 operations; 20.4 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=204, Max=108223, Min=4568, Avg=49145.22, 90=87423, 99=95231, 99.9=108223, 99.99=108223] 
2020-03-29 02:00:05:250 302 sec: 6171 operations; 19.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=194, Max=98943, Min=4456, Avg=51542.95, 90=85887, 99=98367, 99.9=98943, 99.99=98943] 
2020-03-29 02:00:15:250 312 sec: 6361 operations; 19 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=190, Max=98303, Min=4092, Avg=52629.35, 90=87871, 99=98111, 99.9=98303, 99.99=98303] 
2020-03-29 02:00:25:250 322 sec: 6572 operations; 21.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=211, Max=93567, Min=4496, Avg=47443.12, 90=83647, 99=92415, 99.9=93567, 99.99=93567] 
2020-03-29 02:00:35:250 332 sec: 6779 operations; 20.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=207, Max=129855, Min=4520, Avg=48084.52, 90=86143, 99=105919, 99.9=129855, 99.99=129855] 
2020-03-29 02:00:45:250 342 sec: 6989 operations; 21 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=210, Max=116095, Min=4488, Avg=47807.23, 90=85759, 99=93439, 99.9=116095, 99.99=116095] 
2020-03-29 02:00:55:250 352 sec: 7186 operations; 19.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=197, Max=108991, Min=4472, Avg=50675.91, 90=87487, 99=100031, 99.9=108991, 99.99=108991] 
2020-03-29 02:01:05:250 362 sec: 7378 operations; 19.2 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=192, Max=100159, Min=4308, Avg=52005.91, 90=91327, 99=95999, 99.9=100159, 99.99=100159] 
2020-03-29 02:01:15:250 372 sec: 7584 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=104639, Min=4560, Avg=48429.26, 90=84863, 99=99263, 99.9=104639, 99.99=104639] 
2020-03-29 02:01:25:250 382 sec: 7784 operations; 20 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=200, Max=104447, Min=4484, Avg=50069.44, 90=86591, 99=93375, 99.9=104447, 99.99=104447] 
2020-03-29 02:01:35:250 392 sec: 7987 operations; 20.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=203, Max=99391, Min=4312, Avg=49225.48, 90=82943, 99=92287, 99.9=99391, 99.99=99391] 
2020-03-29 02:01:45:250 402 sec: 8195 operations; 20.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=208, Max=104063, Min=4364, Avg=47955.15, 90=83711, 99=93951, 99.9=104063, 99.99=104063] 
2020-03-29 02:01:55:250 412 sec: 8385 operations; 19 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=190, Max=104383, Min=4588, Avg=52740.28, 90=89919, 99=100159, 99.9=104383, 99.99=104383] 
