/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-29 05:23:47:127 0 sec: 0 operations; est completion in 0 second 
2020-03-29 05:23:57:112 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:24:07:112 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-29 05:24:17:112 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:24:27:112 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-29 05:24:37:112 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:24:47:112 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:24:57:112 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:25:07:112 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:25:17:112 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:25:27:112 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 05:25:37:112 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-29 05:25:47:111 1 sec: 20 operations; 2 current ops/sec; est completion in 9 days 23 hours [SCAN: Count=20, Max=152575, Min=5044, Avg=82126.9, 90=139647, 99=152575, 99.9=152575, 99.99=152575] 
2020-03-29 05:25:57:112 11 sec: 163 operations; 14.3 current ops/sec; est completion in 8 days 7 hours [SCAN: Count=143, Max=143743, Min=4464, Avg=69541.3, 90=124351, 99=142463, 99.9=143743, 99.99=143743] 
2020-03-29 05:26:07:112 21 sec: 306 operations; 14.3 current ops/sec; est completion in 8 days 5 hours [SCAN: Count=143, Max=141823, Min=4436, Avg=70232.78, 90=128703, 99=140671, 99.9=141823, 99.99=141823] 
2020-03-29 05:26:17:112 31 sec: 434 operations; 12.8 current ops/sec; est completion in 8 days 11 hours [SCAN: Count=128, Max=140671, Min=4712, Avg=77653.75, 90=128639, 99=138623, 99.9=140671, 99.99=140671] 
2020-03-29 05:26:27:112 41 sec: 565 operations; 13.1 current ops/sec; est completion in 8 days 13 hours [SCAN: Count=131, Max=159231, Min=9112, Avg=76052.37, 90=128191, 99=146815, 99.9=159231, 99.99=159231] 
2020-03-29 05:26:37:112 51 sec: 694 operations; 12.9 current ops/sec; est completion in 8 days 15 hours [SCAN: Count=129, Max=152575, Min=4524, Avg=77372.17, 90=127999, 99=141183, 99.9=152575, 99.99=152575] 
2020-03-29 05:26:47:112 61 sec: 840 operations; 14.6 current ops/sec; est completion in 8 days 12 hours [SCAN: Count=146, Max=151039, Min=4564, Avg=68893.19, 90=125055, 99=142463, 99.9=151039, 99.99=151039] 
2020-03-29 05:26:57:112 71 sec: 975 operations; 13.5 current ops/sec; est completion in 8 days 12 hours [SCAN: Count=135, Max=150399, Min=4508, Avg=73655.84, 90=125503, 99=145663, 99.9=150399, 99.99=150399] 
2020-03-29 05:27:07:112 81 sec: 1106 operations; 13.1 current ops/sec; est completion in 8 days 13 hours [SCAN: Count=131, Max=163327, Min=8472, Avg=76638.87, 90=128767, 99=152447, 99.9=163327, 99.99=163327] 
2020-03-29 05:27:17:111 91 sec: 1260 operations; 15.4 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=154, Max=145407, Min=4584, Avg=64413.22, 90=119359, 99=140799, 99.9=145407, 99.99=145407] 
2020-03-29 05:27:27:111 101 sec: 1397 operations; 13.7 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=137, Max=150271, Min=4512, Avg=73676.22, 90=124863, 99=139007, 99.9=150271, 99.99=150271] 
2020-03-29 05:27:37:111 111 sec: 1540 operations; 14.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=143, Max=140031, Min=4536, Avg=69693.82, 90=124671, 99=139391, 99.9=140031, 99.99=140031] 
2020-03-29 05:27:47:112 121 sec: 1677 operations; 13.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=137, Max=147199, Min=4516, Avg=72566.82, 90=123071, 99=145407, 99.9=147199, 99.99=147199] 
