/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-29 06:34:01:845 0 sec: 0 operations; est completion in 0 second 
2020-03-29 06:34:11:829 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:34:21:828 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-29 06:34:31:828 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:34:41:828 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-29 06:34:51:828 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:35:01:828 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:35:11:828 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:35:21:828 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:35:31:828 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:35:41:828 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-29 06:35:51:828 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-29 06:36:01:828 2 sec: 29 operations; 2.9 current ops/sec; est completion in 8 days 21 hours [SCAN: Count=29, Max=142847, Min=4252, Avg=73775.03, 90=138879, 99=142847, 99.9=142847, 99.99=142847] 
2020-03-29 06:36:11:828 12 sec: 161 operations; 13.2 current ops/sec; est completion in 8 days 19 hours [SCAN: Count=132, Max=151807, Min=4828, Avg=75281.53, 90=129151, 99=143871, 99.9=151807, 99.99=151807] 
2020-03-29 06:36:21:828 22 sec: 300 operations; 13.9 current ops/sec; est completion in 8 days 13 hours [SCAN: Count=139, Max=151551, Min=4724, Avg=72424.32, 90=128831, 99=147583, 99.9=151551, 99.99=151551] 
2020-03-29 06:36:31:829 32 sec: 443 operations; 14.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=143, Max=157183, Min=4476, Avg=69762.41, 90=128383, 99=141311, 99.9=157183, 99.99=157183] 
2020-03-29 06:36:41:828 42 sec: 581 operations; 13.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=138, Max=151679, Min=4592, Avg=72266.96, 90=123071, 99=146175, 99.9=151679, 99.99=151679] 
2020-03-29 06:36:51:828 52 sec: 718 operations; 13.7 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=137, Max=151167, Min=4504, Avg=73075.34, 90=131967, 99=145535, 99.9=151167, 99.99=151167] 
2020-03-29 06:37:01:828 62 sec: 852 operations; 13.4 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=134, Max=139135, Min=4400, Avg=74592.78, 90=129535, 99=138879, 99.9=139135, 99.99=139135] 
2020-03-29 06:37:11:828 72 sec: 995 operations; 14.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=143, Max=140415, Min=4416, Avg=69883.99, 90=124031, 99=138239, 99.9=140415, 99.99=140415] 
2020-03-29 06:37:21:828 82 sec: 1124 operations; 12.9 current ops/sec; est completion in 8 days 11 hours [SCAN: Count=129, Max=139775, Min=4504, Avg=77004.08, 90=133887, 99=138879, 99.9=139775, 99.99=139775] 
2020-03-29 06:37:31:828 92 sec: 1272 operations; 14.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=148, Max=140287, Min=4528, Avg=68074.45, 90=122431, 99=139903, 99.9=140287, 99.99=140287] 
2020-03-29 06:37:41:828 102 sec: 1403 operations; 13.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=131, Max=149887, Min=4588, Avg=76256.84, 90=129343, 99=142591, 99.9=149887, 99.99=149887] 
2020-03-29 06:37:51:828 112 sec: 1540 operations; 13.7 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=137, Max=148351, Min=4620, Avg=72423.31, 90=128959, 99=146047, 99.9=148351, 99.99=148351] 
2020-03-29 06:38:01:828 122 sec: 1683 operations; 14.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=143, Max=138111, Min=4520, Avg=70163.05, 90=128895, 99=137983, 99.9=138111, 99.99=138111] 
