/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 08:47:14:037 0 sec: 0 operations; est completion in 0 second 
2020-03-23 08:47:24:021 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 08:47:34:020 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 08:47:44:020 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 08:47:54:020 7 sec: 620 operations; 62 current ops/sec; est completion in 1 day 9 hours [READ: Count=620, Max=23167, Min=11232, Avg=11948.83, 90=12479, 99=12879, 99.9=23167, 99.99=23167] 
2020-03-23 08:48:04:020 17 sec: 1463 operations; 84.3 current ops/sec; est completion in 1 day 9 hours [READ: Count=843, Max=12943, Min=11248, Avg=11825.11, 90=12071, 99=12255, 99.9=12943, 99.99=12943] 
2020-03-23 08:48:14:020 27 sec: 2311 operations; 84.8 current ops/sec; est completion in 1 day 9 hours [READ: Count=848, Max=22895, Min=11240, Avg=11746.63, 90=11935, 99=12567, 99.9=22895, 99.99=22895] 
2020-03-23 08:48:24:020 37 sec: 3170 operations; 85.9 current ops/sec; est completion in 1 day 8 hours [READ: Count=859, Max=12015, Min=11016, Avg=11612.01, 90=11831, 99=11919, 99.9=12015, 99.99=12015] 
2020-03-23 08:48:34:020 47 sec: 4023 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=19087, Min=11224, Avg=11689.57, 90=11815, 99=11919, 99.9=19087, 99.99=19087] 
2020-03-23 08:48:44:020 57 sec: 4876 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22607, Min=11264, Avg=11675.72, 90=11815, 99=12215, 99.9=22607, 99.99=22607] 
2020-03-23 08:48:54:020 67 sec: 5730 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22671, Min=11176, Avg=11679.7, 90=11823, 99=11967, 99.9=22671, 99.99=22671] 
2020-03-23 08:49:04:020 77 sec: 6586 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22943, Min=11016, Avg=11661.54, 90=11799, 99=12223, 99.9=22943, 99.99=22943] 
2020-03-23 08:49:14:020 87 sec: 7440 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22767, Min=11016, Avg=11682.73, 90=11791, 99=12279, 99.9=22767, 99.99=22767] 
2020-03-23 08:49:24:020 97 sec: 8299 operations; 85.9 current ops/sec; est completion in 1 day 8 hours [READ: Count=858, Max=22799, Min=11168, Avg=11632.7, 90=11775, 99=11911, 99.9=22799, 99.99=22799] 
2020-03-23 08:49:34:020 107 sec: 9153 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22911, Min=11144, Avg=11688.08, 90=11799, 99=12647, 99.9=22911, 99.99=22911] 
