/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 09:22:19:896 0 sec: 0 operations; est completion in 0 second 
2020-03-23 09:22:29:881 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:22:39:882 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 09:22:49:881 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 09:22:59:881 7 sec: 622 operations; 62.2 current ops/sec; est completion in 1 day 9 hours [READ: Count=622, Max=13991, Min=11240, Avg=11802.43, 90=12103, 99=12503, 99.9=13991, 99.99=13991] 
2020-03-23 09:23:09:881 17 sec: 1466 operations; 84.4 current ops/sec; est completion in 1 day 9 hours [READ: Count=844, Max=22111, Min=11272, Avg=11805.5, 90=11951, 99=12335, 99.9=22111, 99.99=22111] 
2020-03-23 09:23:19:881 27 sec: 2315 operations; 84.9 current ops/sec; est completion in 1 day 8 hours [READ: Count=849, Max=12783, Min=11152, Avg=11730.04, 90=11919, 99=12375, 99.9=12783, 99.99=12783] 
2020-03-23 09:23:29:882 37 sec: 3168 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22751, Min=11152, Avg=11693.96, 90=11863, 99=11999, 99.9=22751, 99.99=22751] 
2020-03-23 09:23:39:881 47 sec: 4022 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22767, Min=11104, Avg=11672.81, 90=11823, 99=11951, 99.9=22767, 99.99=22767] 
2020-03-23 09:23:49:881 57 sec: 4875 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=12535, Min=11272, Avg=11680.93, 90=11823, 99=12047, 99.9=12535, 99.99=12535] 
2020-03-23 09:23:59:881 67 sec: 5730 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22863, Min=11104, Avg=11675.43, 90=11823, 99=11935, 99.9=22863, 99.99=22863] 
2020-03-23 09:24:09:881 77 sec: 6580 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22943, Min=11256, Avg=11734.4, 90=11823, 99=12055, 99.9=22943, 99.99=22943] 
2020-03-23 09:24:19:881 87 sec: 7440 operations; 86 current ops/sec; est completion in 1 day 8 hours [READ: Count=860, Max=22751, Min=11008, Avg=11615.88, 90=11775, 99=12463, 99.9=22751, 99.99=22751] 
2020-03-23 09:24:29:881 97 sec: 8294 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=15551, Min=11200, Avg=11687.58, 90=11807, 99=11879, 99.9=15551, 99.99=15551] 
2020-03-23 09:24:39:881 107 sec: 9146 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22767, Min=11280, Avg=11719.09, 90=11815, 99=11911, 99.9=22767, 99.99=22767] 
2020-03-23 09:24:49:882 117 sec: 9996 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22847, Min=11264, Avg=11747.65, 90=11879, 99=12527, 99.9=22847, 99.99=22847] 
2020-03-23 09:24:59:881 127 sec: 10844 operations; 84.8 current ops/sec; est completion in 1 day 8 hours [READ: Count=849, Max=18127, Min=11376, Avg=11765.99, 90=11919, 99=12063, 99.9=18127, 99.99=18127] 
2020-03-23 09:25:09:881 137 sec: 11696 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=14047, Min=11264, Avg=11727.63, 90=11887, 99=12247, 99.9=14047, 99.99=14047] 
2020-03-23 09:25:19:881 147 sec: 12548 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22863, Min=11272, Avg=11719.84, 90=11831, 99=12551, 99.9=22863, 99.99=22863] 
2020-03-23 09:25:29:881 157 sec: 13400 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22927, Min=11320, Avg=11711.31, 90=11815, 99=12223, 99.9=22927, 99.99=22927] 
2020-03-23 09:25:39:881 167 sec: 14253 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22799, Min=11264, Avg=11713.68, 90=11815, 99=12127, 99.9=22799, 99.99=22799] 
2020-03-23 09:25:49:881 177 sec: 15103 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22879, Min=11312, Avg=11748.03, 90=11823, 99=12855, 99.9=22879, 99.99=22879] 
2020-03-23 09:25:59:881 187 sec: 15955 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22895, Min=11280, Avg=11709.22, 90=11807, 99=12063, 99.9=22895, 99.99=22895] 
2020-03-23 09:26:09:881 197 sec: 16808 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22719, Min=11352, Avg=11707.95, 90=11799, 99=12319, 99.9=22719, 99.99=22719] 
2020-03-23 09:26:19:881 207 sec: 17660 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22991, Min=11088, Avg=11720.69, 90=11815, 99=13255, 99.9=22991, 99.99=22991] 
2020-03-23 09:26:29:881 217 sec: 18518 operations; 85.8 current ops/sec; est completion in 1 day 8 hours [READ: Count=858, Max=13327, Min=11136, Avg=11642.57, 90=11791, 99=11935, 99.9=13327, 99.99=13327] 
2020-03-23 09:26:39:882 227 sec: 19372 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22671, Min=11224, Avg=11694.07, 90=11839, 99=12039, 99.9=22671, 99.99=22671] 
2020-03-23 09:26:49:881 237 sec: 20223 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=23375, Min=11304, Avg=11722.76, 90=11831, 99=12695, 99.9=23375, 99.99=23375] 
