/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 12:52:57:112 0 sec: 0 operations; est completion in 0 second 
2020-03-23 12:53:07:096 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:53:17:096 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-23 12:53:27:096 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-23 12:53:37:096 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:53:47:096 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:53:57:096 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:54:07:096 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:54:17:096 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:54:27:096 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:54:37:096 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:54:47:096 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:54:57:096 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 12:55:07:096 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 12:55:17:096 6 sec: 380 operations; 38 current ops/sec; est completion in 1 day 21 hours [READ: Count=381, Max=20911, Min=15320, Avg=16080.48, 90=16495, 99=16943, 99.9=20911, 99.99=20911] 
2020-03-23 12:55:27:096 16 sec: 1005 operations; 62.5 current ops/sec; est completion in 1 day 20 hours [READ: Count=624, Max=28111, Min=15352, Avg=15953.97, 90=16127, 99=16671, 99.9=28111, 99.99=28111] 
2020-03-23 12:55:37:096 26 sec: 1637 operations; 63.2 current ops/sec; est completion in 1 day 20 hours [READ: Count=632, Max=16447, Min=15128, Avg=15774.18, 90=16015, 99=16159, 99.9=16447, 99.99=16447] 
2020-03-23 12:55:47:096 36 sec: 2266 operations; 62.9 current ops/sec; est completion in 1 day 20 hours [READ: Count=629, Max=26047, Min=15360, Avg=15851.64, 90=16015, 99=16511, 99.9=26047, 99.99=26047] 
2020-03-23 12:55:57:096 46 sec: 2900 operations; 63.4 current ops/sec; est completion in 1 day 20 hours [READ: Count=634, Max=17247, Min=15104, Avg=15746.44, 90=15975, 99=16495, 99.9=17247, 99.99=17247] 
2020-03-23 12:56:07:096 56 sec: 3532 operations; 63.2 current ops/sec; est completion in 1 day 20 hours [READ: Count=632, Max=28095, Min=15104, Avg=15772.71, 90=15959, 99=16591, 99.9=28095, 99.99=28095] 
2020-03-23 12:56:17:096 66 sec: 4166 operations; 63.4 current ops/sec; est completion in 1 day 20 hours [READ: Count=634, Max=22351, Min=15176, Avg=15742.76, 90=15911, 99=16351, 99.9=22351, 99.99=22351] 
2020-03-23 12:56:27:096 76 sec: 4798 operations; 63.2 current ops/sec; est completion in 1 day 20 hours [READ: Count=632, Max=27935, Min=15232, Avg=15773.13, 90=15911, 99=16495, 99.9=27935, 99.99=27935] 
2020-03-23 12:56:37:096 86 sec: 5435 operations; 63.7 current ops/sec; est completion in 1 day 20 hours [READ: Count=637, Max=16591, Min=15152, Avg=15682.27, 90=15887, 99=16135, 99.9=16591, 99.99=16591] 
2020-03-23 12:56:47:096 96 sec: 6071 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27887, Min=15128, Avg=15701.7, 90=15871, 99=16279, 99.9=27887, 99.99=27887] 
2020-03-23 12:56:57:096 106 sec: 6706 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=21839, Min=15128, Avg=15723.28, 90=15879, 99=16767, 99.9=21839, 99.99=21839] 
2020-03-23 12:57:07:096 116 sec: 7341 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27935, Min=15040, Avg=15726.38, 90=15871, 99=16415, 99.9=27935, 99.99=27935] 
2020-03-23 12:57:17:096 126 sec: 7973 operations; 63.2 current ops/sec; est completion in 1 day 19 hours [READ: Count=632, Max=28063, Min=15248, Avg=15811.76, 90=15887, 99=20383, 99.9=28063, 99.99=28063] 
2020-03-23 12:57:27:096 136 sec: 8607 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=27983, Min=15128, Avg=15741.79, 90=15871, 99=16495, 99.9=27983, 99.99=27983] 
