/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 14:03:12:098 0 sec: 0 operations; est completion in 0 second 
2020-03-23 14:03:22:080 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:03:32:080 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-23 14:03:42:080 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-23 14:03:52:080 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:04:02:080 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:04:12:080 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:04:22:080 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:04:32:080 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:04:42:080 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:04:52:080 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:05:02:080 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:05:12:080 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 14:05:22:080 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 14:05:32:080 6 sec: 401 operations; 40.1 current ops/sec; est completion in 1 day 20 hours [READ: Count=401, Max=20671, Min=15264, Avg=15870.31, 90=16143, 99=16767, 99.9=20671, 99.99=20671] 
2020-03-23 14:05:42:080 16 sec: 1029 operations; 62.81 current ops/sec; est completion in 1 day 20 hours [READ: Count=628, Max=27919, Min=15176, Avg=15872.45, 90=16063, 99=16863, 99.9=27919, 99.99=27919] 
2020-03-23 14:05:52:080 26 sec: 1664 operations; 63.49 current ops/sec; est completion in 1 day 20 hours [READ: Count=635, Max=16183, Min=15024, Avg=15705.83, 90=15975, 99=16095, 99.9=16183, 99.99=16183] 
2020-03-23 14:06:02:080 36 sec: 2294 operations; 63 current ops/sec; est completion in 1 day 20 hours [READ: Count=630, Max=25279, Min=15256, Avg=15822.12, 90=15999, 99=16831, 99.9=25279, 99.99=25279] 
2020-03-23 14:06:12:080 46 sec: 2931 operations; 63.71 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27807, Min=15088, Avg=15661.56, 90=15903, 99=16047, 99.9=27807, 99.99=27807] 
2020-03-23 14:06:22:080 56 sec: 3567 operations; 63.59 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=17023, Min=15184, Avg=15695.19, 90=15887, 99=16095, 99.9=17023, 99.99=17023] 
2020-03-23 14:06:32:080 66 sec: 4201 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=27743, Min=15168, Avg=15731.5, 90=15895, 99=16463, 99.9=27743, 99.99=27743] 
2020-03-23 14:06:42:080 76 sec: 4836 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27919, Min=15200, Avg=15718.35, 90=15863, 99=16087, 99.9=27919, 99.99=27919] 
2020-03-23 14:06:52:080 86 sec: 5473 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27871, Min=15040, Avg=15651.72, 90=15839, 99=16007, 99.9=27871, 99.99=27871] 
2020-03-23 14:07:02:080 96 sec: 6111 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=26191, Min=15000, Avg=15663.63, 90=15815, 99=16511, 99.9=26191, 99.99=26191] 
2020-03-23 14:07:12:080 106 sec: 6750 operations; 63.9 current ops/sec; est completion in 1 day 19 hours [READ: Count=639, Max=25359, Min=14992, Avg=15624.33, 90=15791, 99=16007, 99.9=25359, 99.99=25359] 
2020-03-23 14:07:22:080 116 sec: 7388 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=28047, Min=15152, Avg=15662.41, 90=15807, 99=15927, 99.9=28047, 99.99=28047] 
2020-03-23 14:07:32:080 126 sec: 8026 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=19951, Min=15200, Avg=15658.45, 90=15799, 99=15951, 99.9=19951, 99.99=19951] 
2020-03-23 14:07:42:080 136 sec: 8661 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27919, Min=15248, Avg=15725.23, 90=15815, 99=16527, 99.9=27919, 99.99=27919] 
