/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-22 22:50:34:047 0 sec: 0 operations; est completion in 0 second 
2020-03-22 22:50:44:031 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 22:50:54:031 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-22 22:51:04:031 2 sec: 614 operations; 61.4 current ops/sec; est completion in 10 hours 47 minutes [READ: Count=614, Max=6491, Min=3262, Avg=3764.87, 90=3981, 99=5755, 99.9=6491, 99.99=6491] 
2020-03-22 22:51:14:031 12 sec: 3336 operations; 272.2 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2723, Max=9055, Min=3148, Avg=3646.72, 90=3967, 99=4035, 99.9=6299, 99.99=9055] 
2020-03-22 22:51:24:031 22 sec: 5991 operations; 265.5 current ops/sec; est completion in 10 hours 22 minutes [READ: Count=2654, Max=10007, Min=3156, Avg=3738.7, 90=3869, 99=4815, 99.9=9183, 99.99=10007] 
2020-03-22 22:51:34:031 32 sec: 8679 operations; 268.8 current ops/sec; est completion in 10 hours 21 minutes [READ: Count=2688, Max=9551, Min=3096, Avg=3704.16, 90=3845, 99=5527, 99.9=9279, 99.99=9551] 
2020-03-22 22:51:44:031 42 sec: 11307 operations; 262.8 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2628, Max=10095, Min=3440, Avg=3786.37, 90=3859, 99=5431, 99.9=9255, 99.99=10095] 
2020-03-22 22:51:54:031 52 sec: 13941 operations; 263.4 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2634, Max=10407, Min=3160, Avg=3780.08, 90=3863, 99=5535, 99.9=9287, 99.99=10407] 
2020-03-22 22:52:04:031 62 sec: 16554 operations; 261.3 current ops/sec; est completion in 10 hours 27 minutes [READ: Count=2614, Max=11055, Min=3484, Avg=3808.83, 90=3861, 99=6539, 99.9=9279, 99.99=11055] 
2020-03-22 22:52:14:031 72 sec: 19223 operations; 266.9 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2669, Max=9223, Min=3194, Avg=3730.83, 90=3845, 99=4887, 99.9=9183, 99.99=9223] 
2020-03-22 22:52:24:031 82 sec: 21903 operations; 268 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2680, Max=9303, Min=3148, Avg=3715.64, 90=3853, 99=4467, 99.9=9263, 99.99=9303] 
2020-03-22 22:52:34:031 92 sec: 24527 operations; 262.4 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2624, Max=9295, Min=3288, Avg=3793.95, 90=3857, 99=6531, 99.9=9263, 99.99=9295] 
2020-03-22 22:52:44:031 102 sec: 27209 operations; 268.2 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2681, Max=9303, Min=3146, Avg=3714.69, 90=3859, 99=5479, 99.9=9295, 99.99=9303] 
2020-03-22 22:52:54:031 112 sec: 29839 operations; 263 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2630, Max=9471, Min=3270, Avg=3785.57, 90=3861, 99=6547, 99.9=9279, 99.99=9471] 
2020-03-22 22:53:04:031 122 sec: 32488 operations; 264.87 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2649, Max=9359, Min=3180, Avg=3759.01, 90=3851, 99=5467, 99.9=9247, 99.99=9359] 
2020-03-22 22:53:14:033 132 sec: 35112 operations; 262.43 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2624, Max=9327, Min=3392, Avg=3793.84, 90=3861, 99=6503, 99.9=9319, 99.99=9327] 
2020-03-22 22:53:24:031 142 sec: 37744 operations; 263.2 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2632, Max=9319, Min=3160, Avg=3782.6, 90=3863, 99=6487, 99.9=9303, 99.99=9319] 
2020-03-22 22:53:34:031 152 sec: 40372 operations; 262.8 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2628, Max=9319, Min=3450, Avg=3788.86, 90=3859, 99=5479, 99.9=9247, 99.99=9319] 
2020-03-22 22:53:44:031 162 sec: 43040 operations; 266.8 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2669, Max=9223, Min=3136, Avg=3731.67, 90=3851, 99=5475, 99.9=9215, 99.99=9223] 
2020-03-22 22:53:54:031 172 sec: 45694 operations; 265.4 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2653, Max=9279, Min=3366, Avg=3752.22, 90=3853, 99=5499, 99.9=9231, 99.99=9279] 
2020-03-22 22:54:04:031 182 sec: 48314 operations; 262 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2620, Max=9391, Min=3328, Avg=3799.93, 90=3871, 99=6503, 99.9=9359, 99.99=9391] 
2020-03-22 22:54:14:031 192 sec: 50935 operations; 262.1 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2621, Max=9311, Min=3414, Avg=3798.3, 90=3867, 99=5507, 99.9=9231, 99.99=9311] 
2020-03-22 22:54:24:031 202 sec: 53579 operations; 264.4 current ops/sec; est completion in 10 hours 26 minutes [READ: Count=2644, Max=9343, Min=3482, Avg=3765.21, 90=3857, 99=4783, 99.9=9191, 99.99=9343] 
2020-03-22 22:54:34:031 212 sec: 56265 operations; 268.6 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2686, Max=9287, Min=3152, Avg=3706.81, 90=3843, 99=4439, 99.9=9175, 99.99=9287] 
