/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 09:57:25:859 0 sec: 0 operations; est completion in 0 second 
2020-03-23 09:57:35:842 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:57:45:842 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 09:57:55:842 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:58:05:842 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:58:15:842 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 09:58:25:842 9 sec: 654 operations; 65.4 current ops/sec; est completion in 1 day 15 hours [READ: Count=654, Max=18671, Min=13352, Avg=13904.27, 90=14263, 99=14751, 99.9=18671, 99.99=18671] 
2020-03-23 09:58:35:842 19 sec: 1377 operations; 72.3 current ops/sec; est completion in 1 day 14 hours [READ: Count=723, Max=14439, Min=13288, Avg=13774.48, 90=13927, 99=14039, 99.9=14439, 99.99=14439] 
2020-03-23 09:58:45:842 29 sec: 2099 operations; 72.2 current ops/sec; est completion in 1 day 14 hours [READ: Count=722, Max=25487, Min=13000, Avg=13789.86, 90=13927, 99=14135, 99.9=25487, 99.99=25487] 
2020-03-23 09:58:55:842 39 sec: 2825 operations; 72.6 current ops/sec; est completion in 1 day 14 hours [READ: Count=726, Max=14759, Min=13192, Avg=13736.94, 90=13879, 99=14063, 99.9=14759, 99.99=14759] 
2020-03-23 09:59:05:842 49 sec: 3554 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=15255, Min=13192, Avg=13683.98, 90=13839, 99=14039, 99.9=15255, 99.99=15255] 
2020-03-23 09:59:15:842 59 sec: 4283 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=20847, Min=13176, Avg=13673.96, 90=13799, 99=14023, 99.9=20847, 99.99=20847] 
2020-03-23 09:59:25:842 69 sec: 5010 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25471, Min=13280, Avg=13708.98, 90=13823, 99=14327, 99.9=25471, 99.99=25471] 
2020-03-23 09:59:35:842 79 sec: 5737 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25631, Min=13320, Avg=13716.06, 90=13815, 99=14375, 99.9=25631, 99.99=25631] 
2020-03-23 09:59:45:842 89 sec: 6463 operations; 72.6 current ops/sec; est completion in 1 day 14 hours [READ: Count=726, Max=25455, Min=13392, Avg=13740.55, 90=13807, 99=14591, 99.9=25455, 99.99=25455] 
2020-03-23 09:59:55:843 99 sec: 7196 operations; 73.3 current ops/sec; est completion in 1 day 14 hours [READ: Count=733, Max=14447, Min=13096, Avg=13626.41, 90=13783, 99=14143, 99.9=14447, 99.99=14447] 
2020-03-23 10:00:05:843 109 sec: 7926 operations; 73 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25583, Min=13304, Avg=13671.85, 90=13783, 99=14327, 99.9=25583, 99.99=25583] 
