/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 10:32:31:997 0 sec: 0 operations; est completion in 0 second 
2020-03-23 10:32:41:981 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 10:32:51:981 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-23 10:33:01:981 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-23 10:33:11:981 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 10:33:21:981 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 10:33:31:981 9 sec: 651 operations; 65.1 current ops/sec; est completion in 1 day 15 hours [READ: Count=651, Max=36511, Min=13232, Avg=13938.51, 90=14287, 99=14727, 99.9=36511, 99.99=36511] 
2020-03-23 10:33:41:981 19 sec: 1374 operations; 72.3 current ops/sec; est completion in 1 day 14 hours [READ: Count=723, Max=14999, Min=13192, Avg=13799.57, 90=13975, 99=14119, 99.9=14999, 99.99=14999] 
2020-03-23 10:33:51:981 29 sec: 2098 operations; 72.39 current ops/sec; est completion in 1 day 14 hours [READ: Count=724, Max=21375, Min=12880, Avg=13757.6, 90=13943, 99=14599, 99.9=21375, 99.99=21375] 
2020-03-23 10:34:01:981 39 sec: 2827 operations; 72.91 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=14687, Min=13048, Avg=13694.13, 90=13895, 99=14039, 99.9=14687, 99.99=14687] 
2020-03-23 10:34:11:981 49 sec: 3555 operations; 72.8 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25567, Min=13176, Avg=13694.36, 90=13839, 99=13967, 99.9=25567, 99.99=25567] 
2020-03-23 10:34:21:981 59 sec: 4280 operations; 72.49 current ops/sec; est completion in 1 day 14 hours [READ: Count=725, Max=25487, Min=13200, Avg=13739.8, 90=13847, 99=14839, 99.9=25487, 99.99=25487] 
2020-03-23 10:34:31:981 69 sec: 5008 operations; 72.81 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25391, Min=13344, Avg=13709.94, 90=13831, 99=13927, 99.9=25391, 99.99=25391] 
2020-03-23 10:34:41:981 79 sec: 5739 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=731, Max=25599, Min=12976, Avg=13647.19, 90=13799, 99=13887, 99.9=25599, 99.99=25599] 
2020-03-23 10:34:51:981 89 sec: 6469 operations; 73 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25663, Min=13128, Avg=13664.78, 90=13783, 99=14671, 99.9=25663, 99.99=25663] 
2020-03-23 10:35:01:981 99 sec: 7198 operations; 72.89 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25535, Min=13048, Avg=13692.24, 90=13799, 99=14695, 99.9=25535, 99.99=25535] 
2020-03-23 10:35:11:981 109 sec: 7926 operations; 72.81 current ops/sec; est completion in 1 day 14 hours [READ: Count=728, Max=25871, Min=12936, Avg=13732.64, 90=13807, 99=14767, 99.9=25871, 99.99=25871] 
2020-03-23 10:35:21:981 119 sec: 8659 operations; 73.3 current ops/sec; est completion in 1 day 14 hours [READ: Count=733, Max=25343, Min=12984, Avg=13623.05, 90=13775, 99=14503, 99.9=25343, 99.99=25343] 
2020-03-23 10:35:31:981 129 sec: 9388 operations; 72.89 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25439, Min=13344, Avg=13688.69, 90=13791, 99=13927, 99.9=25439, 99.99=25439] 
2020-03-23 10:35:41:981 139 sec: 10117 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25551, Min=13256, Avg=13702.46, 90=13807, 99=14575, 99.9=25551, 99.99=25551] 
2020-03-23 10:35:51:981 149 sec: 10846 operations; 72.91 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25615, Min=13232, Avg=13707.4, 90=13815, 99=14447, 99.9=25615, 99.99=25615] 
2020-03-23 10:36:01:981 159 sec: 11576 operations; 72.99 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25391, Min=13272, Avg=13682.36, 90=13799, 99=14423, 99.9=25391, 99.99=25391] 
2020-03-23 10:36:11:981 169 sec: 12309 operations; 73.31 current ops/sec; est completion in 1 day 14 hours [READ: Count=733, Max=14423, Min=13128, Avg=13629.91, 90=13783, 99=14071, 99.9=14423, 99.99=14423] 
2020-03-23 10:36:21:981 179 sec: 13038 operations; 72.89 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25439, Min=13256, Avg=13684.7, 90=13791, 99=14399, 99.9=25439, 99.99=25439] 
2020-03-23 10:36:31:981 189 sec: 13767 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25647, Min=13256, Avg=13694.74, 90=13799, 99=14207, 99.9=25647, 99.99=25647] 
2020-03-23 10:36:41:981 199 sec: 14498 operations; 73.1 current ops/sec; est completion in 1 day 14 hours [READ: Count=731, Max=25711, Min=13176, Avg=13674.45, 90=13799, 99=14079, 99.9=25711, 99.99=25711] 
2020-03-23 10:36:51:981 209 sec: 15225 operations; 72.7 current ops/sec; est completion in 1 day 14 hours [READ: Count=727, Max=25535, Min=13248, Avg=13727.6, 90=13807, 99=14807, 99.9=25535, 99.99=25535] 
2020-03-23 10:37:01:981 219 sec: 15954 operations; 72.9 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25519, Min=12960, Avg=13711.78, 90=13799, 99=14783, 99.9=25519, 99.99=25519] 
2020-03-23 10:37:11:981 229 sec: 16684 operations; 73.01 current ops/sec; est completion in 1 day 14 hours [READ: Count=730, Max=25423, Min=13248, Avg=13680.78, 90=13791, 99=13919, 99.9=25423, 99.99=25423] 
2020-03-23 10:37:21:981 239 sec: 17413 operations; 72.89 current ops/sec; est completion in 1 day 14 hours [READ: Count=729, Max=25375, Min=13224, Avg=13687.35, 90=13799, 99=14447, 99.9=25375, 99.99=25375] 
