/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 02:56:14:951 0 sec: 0 operations; est completion in 0 second 
2020-03-23 02:56:24:936 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 02:56:34:936 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 02:56:44:936 2 sec: 441 operations; 44.1 current ops/sec; est completion in 14 hours 54 minutes [READ: Count=441, Max=16103, Min=4732, Avg=5189.6, 90=5363, 99=8223, 99.9=16103, 99.99=16103] 
2020-03-23 02:56:54:936 12 sec: 2423 operations; 198.2 current ops/sec; est completion in 14 hours 10 minutes [READ: Count=1982, Max=11727, Min=4324, Avg=5009.73, 90=5219, 99=5479, 99.9=10199, 99.99=11727] 
2020-03-23 02:57:04:936 22 sec: 4491 operations; 206.78 current ops/sec; est completion in 13 hours 49 minutes [READ: Count=2068, Max=12823, Min=4280, Avg=4812.47, 90=5055, 99=5691, 99.9=11687, 99.99=12823] 
2020-03-23 02:57:14:936 32 sec: 6485 operations; 199.4 current ops/sec; est completion in 13 hours 51 minutes [READ: Count=1994, Max=11879, Min=4584, Avg=4983.18, 90=5063, 99=6419, 99.9=11751, 99.99=11879] 
2020-03-23 02:57:24:936 42 sec: 8562 operations; 207.7 current ops/sec; est completion in 13 hours 44 minutes [READ: Count=2077, Max=11831, Min=4280, Avg=4800.98, 90=5019, 99=5191, 99.9=11767, 99.99=11831] 
2020-03-23 02:57:34:936 52 sec: 10600 operations; 203.8 current ops/sec; est completion in 13 hours 42 minutes [READ: Count=2039, Max=11823, Min=4344, Avg=4889.17, 90=5031, 99=5403, 99.9=11807, 99.99=11823] 
2020-03-23 02:57:44:936 62 sec: 12598 operations; 199.8 current ops/sec; est completion in 13 hours 44 minutes [READ: Count=1997, Max=11855, Min=4524, Avg=4989.85, 90=5047, 99=8003, 99.9=11839, 99.99=11855] 
2020-03-23 02:57:54:936 72 sec: 14608 operations; 201 current ops/sec; est completion in 13 hours 44 minutes [READ: Count=2010, Max=12119, Min=4364, Avg=4957.52, 90=5039, 99=6531, 99.9=11799, 99.99=12119] 
2020-03-23 02:58:04:936 82 sec: 16642 operations; 203.42 current ops/sec; est completion in 13 hours 43 minutes [READ: Count=2034, Max=11791, Min=4316, Avg=4901.08, 90=5027, 99=5719, 99.9=11751, 99.99=11791] 
2020-03-23 02:58:14:936 92 sec: 18652 operations; 200.98 current ops/sec; est completion in 13 hours 43 minutes [READ: Count=2010, Max=11799, Min=4332, Avg=4958.14, 90=5031, 99=6611, 99.9=11751, 99.99=11799] 
