/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 03:31:20:746 0 sec: 0 operations; est completion in 0 second 
2020-03-23 03:31:30:729 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 03:31:40:729 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 03:31:50:729 2 sec: 460 operations; 46 current ops/sec; est completion in 14 hours 3 minutes [READ: Count=460, Max=7759, Min=4528, Avg=4903.16, 90=5115, 99=6759, 99.9=7759, 99.99=7759] 
2020-03-23 03:32:00:729 12 sec: 2430 operations; 197 current ops/sec; est completion in 14 hours 5 minutes [READ: Count=1971, Max=15559, Min=4304, Avg=5037.16, 90=5203, 99=5807, 99.9=11919, 99.99=15559] 
2020-03-23 03:32:10:729 22 sec: 4470 operations; 204 current ops/sec; est completion in 13 hours 52 minutes [READ: Count=2039, Max=11847, Min=4336, Avg=4871.07, 90=5059, 99=5283, 99.9=11727, 99.99=11847] 
2020-03-23 03:32:20:729 32 sec: 6498 operations; 202.8 current ops/sec; est completion in 13 hours 48 minutes [READ: Count=2028, Max=18063, Min=4308, Avg=4903.63, 90=5047, 99=5295, 99.9=11815, 99.99=18063] 
2020-03-23 03:32:30:729 42 sec: 8524 operations; 202.6 current ops/sec; est completion in 13 hours 46 minutes [READ: Count=2026, Max=11823, Min=4288, Avg=4920.08, 90=5027, 99=6459, 99.9=11735, 99.99=11823] 
2020-03-23 03:32:40:729 52 sec: 10557 operations; 203.3 current ops/sec; est completion in 13 hours 45 minutes [READ: Count=2033, Max=11743, Min=4308, Avg=4901.75, 90=5011, 99=5655, 99.9=11703, 99.99=11743] 
2020-03-23 03:32:50:729 62 sec: 12574 operations; 201.7 current ops/sec; est completion in 13 hours 45 minutes [READ: Count=2018, Max=11959, Min=4556, Avg=4938.72, 90=5031, 99=5695, 99.9=11783, 99.99=11959] 
2020-03-23 03:33:00:729 72 sec: 14595 operations; 202.1 current ops/sec; est completion in 13 hours 44 minutes [READ: Count=2020, Max=11807, Min=4316, Avg=4932.58, 90=5031, 99=6459, 99.9=11767, 99.99=11807] 
2020-03-23 03:33:10:729 82 sec: 16609 operations; 201.4 current ops/sec; est completion in 13 hours 44 minutes [READ: Count=2014, Max=13335, Min=4624, Avg=4947.87, 90=5035, 99=5215, 99.9=11735, 99.99=13335] 
2020-03-23 03:33:20:729 92 sec: 18630 operations; 202.1 current ops/sec; est completion in 13 hours 44 minutes [READ: Count=2021, Max=11799, Min=4400, Avg=4931.19, 90=5027, 99=6375, 99.9=11751, 99.99=11799] 
2020-03-23 03:33:30:729 102 sec: 20624 operations; 199.4 current ops/sec; est completion in 13 hours 45 minutes [READ: Count=1994, Max=11815, Min=4548, Avg=4999.12, 90=5043, 99=8015, 99.9=11783, 99.99=11815] 
