/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-27 14:17:34:580 0 sec: 0 operations; est completion in 0 second 
2020-03-27 14:17:44:567 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:17:54:566 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-27 14:18:04:566 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-27 14:18:14:566 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:18:24:566 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:18:34:566 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:18:44:566 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:18:54:566 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:19:04:567 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:19:14:566 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:19:24:566 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:19:34:566 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-27 14:19:44:566 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-27 14:19:54:566 7 sec: 82 operations; 8.2 current ops/sec; est completion in 10 days [SCAN: Count=82, Max=166271, Min=15616, Avg=84509.41, 90=158975, 99=166271, 99.9=166271, 99.99=166271] 
2020-03-27 14:20:04:566 17 sec: 198 operations; 11.6 current ops/sec; est completion in 9 days 23 hours [SCAN: Count=116, Max=160767, Min=15384, Avg=86513.79, 90=157567, 99=160639, 99.9=160767, 99.99=160767] 
2020-03-27 14:20:14:567 27 sec: 312 operations; 11.4 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=114, Max=160639, Min=15664, Avg=87688.42, 90=159487, 99=160383, 99.9=160639, 99.99=160639] 
2020-03-27 14:20:24:567 37 sec: 427 operations; 11.5 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=115, Max=160383, Min=15864, Avg=86542.26, 90=159103, 99=160383, 99.9=160383, 99.99=160383] 
2020-03-27 14:20:34:566 47 sec: 532 operations; 10.5 current ops/sec; est completion in 10 days 5 hours [SCAN: Count=105, Max=161407, Min=15784, Avg=95789.79, 90=158975, 99=160895, 99.9=161407, 99.99=161407] 
2020-03-27 14:20:44:566 57 sec: 653 operations; 12.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=121, Max=159999, Min=15688, Avg=82270.84, 90=143231, 99=159615, 99.9=159999, 99.99=159999] 
2020-03-27 14:20:54:566 67 sec: 768 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=171519, Min=15464, Avg=86408.24, 90=143103, 99=159615, 99.9=171519, 99.99=171519] 
2020-03-27 14:21:04:566 77 sec: 882 operations; 11.4 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=114, Max=158847, Min=15736, Avg=87363.44, 90=142847, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:21:14:567 87 sec: 1001 operations; 11.9 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=119, Max=171647, Min=15584, Avg=85138.39, 90=157567, 99=158975, 99.9=171647, 99.99=171647] 
2020-03-27 14:21:24:566 97 sec: 1105 operations; 10.4 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=104, Max=158847, Min=15640, Avg=95077.23, 90=157439, 99=158591, 99.9=158847, 99.99=158847] 
2020-03-27 14:21:34:566 107 sec: 1219 operations; 11.4 current ops/sec; est completion in 10 days 4 hours [SCAN: Count=114, Max=159487, Min=15760, Avg=87918.46, 90=157823, 99=159103, 99.9=159487, 99.99=159487] 
2020-03-27 14:21:44:567 117 sec: 1341 operations; 12.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=122, Max=158335, Min=15656, Avg=81614.46, 90=142079, 99=158207, 99.9=158335, 99.99=158335] 
2020-03-27 14:21:54:566 127 sec: 1457 operations; 11.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=116, Max=158591, Min=15720, Avg=87155.1, 90=157823, 99=158591, 99.9=158591, 99.99=158591] 
