/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloadb -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-04-15 15:25:12:105 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-04-15 15:25:22:089 9 sec: 62018 operations; 6201.8 current ops/sec; est completion in 26 minutes [SCAN: Count=62026, Max=14631, Min=99, Avg=158.21, 90=225, 99=339, 99.9=405, 99.99=1033] 
2020-04-15 15:25:32:089 19 sec: 117057 operations; 5503.9 current ops/sec; est completion in 28 minutes [SCAN: Count=55034, Max=6995, Min=96, Avg=180.08, 90=266, 99=368, 99.9=405, 99.99=577] 
2020-04-15 15:25:42:089 29 sec: 176778 operations; 5972.1 current ops/sec; est completion in 27 minutes [SCAN: Count=59724, Max=5223, Min=95, Avg=166.14, 90=228, 99=352, 99.9=401, 99.99=461] 
2020-04-15 15:25:52:089 39 sec: 236098 operations; 5932 current ops/sec; est completion in 27 minutes [SCAN: Count=59318, Max=2411, Min=101, Avg=167.23, 90=216, 99=362, 99.9=445, 99.99=525] 
2020-04-15 15:26:02:089 49 sec: 292621 operations; 5652.3 current ops/sec; est completion in 27 minutes [SCAN: Count=56524, Max=1840, Min=98, Avg=175.55, 90=244, 99=356, 99.9=413, 99.99=477] 
2020-04-15 15:26:12:089 59 sec: 355152 operations; 6253.1 current ops/sec; est completion in 27 minutes [SCAN: Count=62532, Max=1200, Min=105, Avg=158.74, 90=186, 99=207, 99.9=288, 99.99=431] 
2020-04-15 15:26:22:089 69 sec: 412992 operations; 5784 current ops/sec; est completion in 27 minutes [SCAN: Count=57836, Max=6959, Min=95, Avg=171.61, 90=213, 99=313, 99.9=384, 99.99=456] 
2020-04-15 15:26:32:089 79 sec: 474416 operations; 6142.4 current ops/sec; est completion in 26 minutes [SCAN: Count=61429, Max=1914, Min=95, Avg=161.51, 90=232, 99=386, 99.9=453, 99.99=496] 
2020-04-15 15:26:42:088 89 sec: 534262 operations; 5984.6 current ops/sec; est completion in 26 minutes [SCAN: Count=59842, Max=1827, Min=95, Avg=165.81, 90=211, 99=340, 99.9=382, 99.99=485] 
2020-04-15 15:26:52:088 99 sec: 593502 operations; 5924 current ops/sec; est completion in 26 minutes [SCAN: Count=59240, Max=1831, Min=96, Avg=167.52, 90=252, 99=331, 99.9=356, 99.99=704] 
2020-04-15 15:27:02:089 109 sec: 637524 operations; 4402.2 current ops/sec; est completion in 26 minutes [SCAN: Count=44023, Max=2359, Min=99, Avg=225.56, 90=332, 99=379, 99.9=446, 99.99=520] 
2020-04-15 15:27:12:089 119 sec: 687778 operations; 5025.4 current ops/sec; est completion in 27 minutes [SCAN: Count=50255, Max=2509, Min=99, Avg=197.7, 90=314, 99=335, 99.9=378, 99.99=649] 
2020-04-15 15:27:22:088 129 sec: 735420 operations; 4764.2 current ops/sec; est completion in 27 minutes [SCAN: Count=47639, Max=2293, Min=130, Avg=208.39, 90=329, 99=376, 99.9=449, 99.99=674] 
2020-04-15 15:27:32:089 139 sec: 794487 operations; 5906.7 current ops/sec; est completion in 27 minutes [SCAN: Count=59070, Max=1541, Min=121, Avg=168.07, 90=195, 99=217, 99.9=270, 99.99=741] 
2020-04-15 15:27:42:089 149 sec: 849303 operations; 5481.6 current ops/sec; est completion in 26 minutes [SCAN: Count=54815, Max=1915, Min=124, Avg=181.03, 90=203, 99=362, 99.9=379, 99.99=463] 
2020-04-15 15:27:52:089 159 sec: 902664 operations; 5336.1 current ops/sec; est completion in 26 minutes [SCAN: Count=53362, Max=2229, Min=129, Avg=186.03, 90=209, 99=368, 99.9=398, 99.99=659] 
2020-04-15 15:28:02:089 169 sec: 960807 operations; 5814.3 current ops/sec; est completion in 26 minutes [SCAN: Count=58145, Max=1839, Min=96, Avg=170.61, 90=245, 99=369, 99.9=446, 99.99=1524] 
2020-04-15 15:28:12:089 179 sec: 1021496 operations; 6068.9 current ops/sec; est completion in 26 minutes [SCAN: Count=60688, Max=1928, Min=95, Avg=163.53, 90=200, 99=374, 99.9=449, 99.99=680] 
2020-04-15 15:28:22:089 189 sec: 1084206 operations; 6271 current ops/sec; est completion in 26 minutes [SCAN: Count=62706, Max=4009, Min=95, Avg=158.11, 90=194, 99=354, 99.9=408, 99.99=1261] 
2020-04-15 15:28:32:089 199 sec: 1131638 operations; 4743.2 current ops/sec; est completion in 26 minutes [SCAN: Count=47434, Max=1819, Min=103, Avg=209.33, 90=333, 99=376, 99.9=444, 99.99=1053] 
2020-04-15 15:28:42:089 209 sec: 1183409 operations; 5177.1 current ops/sec; est completion in 26 minutes [SCAN: Count=51771, Max=2097, Min=104, Avg=191.67, 90=311, 99=367, 99.9=422, 99.99=1489] 
2020-04-15 15:28:52:089 219 sec: 1242026 operations; 5861.7 current ops/sec; est completion in 25 minutes [SCAN: Count=58617, Max=1978, Min=96, Avg=169.21, 90=215, 99=342, 99.9=375, 99.99=623] 
2020-04-15 15:29:02:089 229 sec: 1309400 operations; 6737.4 current ops/sec; est completion in 25 minutes [SCAN: Count=67374, Max=6535, Min=95, Avg=147.2, 90=168, 99=317, 99.9=360, 99.99=904] 
2020-04-15 15:29:12:089 239 sec: 1375428 operations; 6602.8 current ops/sec; est completion in 25 minutes [SCAN: Count=66029, Max=1936, Min=98, Avg=150.12, 90=167, 99=322, 99.9=408, 99.99=510] 
2020-04-15 15:29:22:089 249 sec: 1420668 operations; 4524 current ops/sec; est completion in 25 minutes [SCAN: Count=45238, Max=2147, Min=111, Avg=219.45, 90=313, 99=373, 99.9=446, 99.99=988] 
2020-04-15 15:29:32:088 259 sec: 1477733 operations; 5706.5 current ops/sec; est completion in 25 minutes [SCAN: Count=57064, Max=1956, Min=115, Avg=173.88, 90=200, 99=311, 99.9=325, 99.99=742] 
2020-04-15 15:29:42:089 269 sec: 1535042 operations; 5730.9 current ops/sec; est completion in 24 minutes [SCAN: Count=57309, Max=2221, Min=102, Avg=173.28, 90=233, 99=368, 99.9=423, 99.99=866] 
2020-04-15 15:29:52:089 279 sec: 1585482 operations; 5044 current ops/sec; est completion in 24 minutes [SCAN: Count=50442, Max=1963, Min=101, Avg=196.78, 90=312, 99=328, 99.9=372, 99.99=399] 
2020-04-15 15:30:02:088 289 sec: 1647760 operations; 6227.8 current ops/sec; est completion in 24 minutes [SCAN: Count=62275, Max=2247, Min=95, Avg=159.21, 90=194, 99=352, 99.9=390, 99.99=591] 
2020-04-15 15:30:12:089 299 sec: 1701157 operations; 5339.7 current ops/sec; est completion in 24 minutes [SCAN: Count=53402, Max=2075, Min=102, Avg=185.79, 90=307, 99=374, 99.9=447, 99.99=539] 
2020-04-15 15:30:22:089 309 sec: 1761317 operations; 6016 current ops/sec; est completion in 24 minutes [SCAN: Count=60158, Max=1485, Min=96, Avg=165, 90=207, 99=314, 99.9=403, 99.99=475] 
2020-04-15 15:30:32:089 319 sec: 1808941 operations; 4762.4 current ops/sec; est completion in 24 minutes [SCAN: Count=47623, Max=2036, Min=107, Avg=208.43, 90=322, 99=375, 99.9=439, 99.99=928] 
2020-04-15 15:30:42:089 329 sec: 1870089 operations; 6114.8 current ops/sec; est completion in 23 minutes [SCAN: Count=61147, Max=2147, Min=95, Avg=162.31, 90=202, 99=322, 99.9=398, 99.99=659] 
2020-04-15 15:30:52:089 339 sec: 1927105 operations; 5701.6 current ops/sec; est completion in 23 minutes [SCAN: Count=57016, Max=1834, Min=98, Avg=174.01, 90=302, 99=432, 99.9=455, 99.99=912] 
2020-04-15 15:31:02:089 349 sec: 1991586 operations; 6448.1 current ops/sec; est completion in 23 minutes [SCAN: Count=64483, Max=1028, Min=95, Avg=154.18, 90=200, 99=308, 99.9=360, 99.99=637] 
2020-04-15 15:31:12:088 359 sec: 2047359 operations; 5577.3 current ops/sec; est completion in 23 minutes [SCAN: Count=55771, Max=2141, Min=99, Avg=178, 90=268, 99=369, 99.9=422, 99.99=961] 
2020-04-15 15:31:22:089 369 sec: 2108380 operations; 6102.1 current ops/sec; est completion in 23 minutes [SCAN: Count=61023, Max=2039, Min=95, Avg=162.62, 90=196, 99=354, 99.9=448, 99.99=497] 
2020-04-15 15:31:32:089 379 sec: 2171821 operations; 6344.1 current ops/sec; est completion in 22 minutes [SCAN: Count=63440, Max=1892, Min=95, Avg=156.4, 90=208, 99=366, 99.9=406, 99.99=501] 
2020-04-15 15:31:42:089 389 sec: 2226911 operations; 5509 current ops/sec; est completion in 22 minutes [SCAN: Count=55090, Max=2217, Min=96, Avg=180.15, 90=281, 99=344, 99.9=419, 99.99=942] 
2020-04-15 15:31:52:089 399 sec: 2274389 operations; 4747.8 current ops/sec; est completion in 22 minutes [SCAN: Count=47477, Max=2281, Min=121, Avg=209.12, 90=315, 99=370, 99.9=410, 99.99=700] 
2020-04-15 15:32:02:088 409 sec: 2337844 operations; 6345.5 current ops/sec; est completion in 22 minutes [SCAN: Count=63455, Max=2099, Min=95, Avg=156.37, 90=193, 99=336, 99.9=443, 99.99=691] 
2020-04-15 15:32:12:089 419 sec: 2399344 operations; 6150 current ops/sec; est completion in 22 minutes [SCAN: Count=61500, Max=1850, Min=99, Avg=161.44, 90=190, 99=306, 99.9=423, 99.99=791] 
2020-04-15 15:32:22:089 429 sec: 2452965 operations; 5362.1 current ops/sec; est completion in 22 minutes [SCAN: Count=53623, Max=1985, Min=119, Avg=185.15, 90=247, 99=372, 99.9=413, 99.99=858] 
2020-04-15 15:32:32:088 439 sec: 2507190 operations; 5422.5 current ops/sec; est completion in 21 minutes [SCAN: Count=54222, Max=2255, Min=98, Avg=183.05, 90=272, 99=369, 99.9=443, 99.99=899] 
2020-04-15 15:32:42:089 449 sec: 2561648 operations; 5445.8 current ops/sec; est completion in 21 minutes [SCAN: Count=54461, Max=2293, Min=95, Avg=182.31, 90=289, 99=376, 99.9=449, 99.99=808] 
